model,k,L,samples,mean_winding,var_winding,mean_raw_steps,mean_lerw_steps,mean_hit_x,mean_hit_y,mean_hit_x_over_L,mean_hit_y_over_L
gamma,5.0,16,300,0.10666666666666667,1.9685172798216277,298.9066666666667,41.17333333333333,4.363333333333333,3.683333333333333,0.27270833333333333,0.23020833333333332
gamma,5.0,32,300,0.09,2.423311036789298,1038.5266666666666,95.13333333333334,11.656666666666666,12.836666666666666,0.3642708333333333,0.4011458333333333
gamma,5.0,64,300,0.05333333333333334,2.652664437012263,3204.74,221.73333333333332,34.64,37.166666666666664,0.54125,0.5807291666666666
gamma,5.0,128,300,-0.09,3.493545150501672,7722.846666666666,489.92,87,90.93333333333334,0.6796875,0.7104166666666667
gamma,5.0,256,300,-0.18666666666666668,3.0620289855072462,16932.68,1052.8466666666666,200.96666666666667,195.67333333333335,0.7850260416666667,0.7643489583333334
gamma4,0.5,16,300,0.023333333333333334,2.0696878483835004,484.7733333333333,42.16,0.36666666666666664,0.013333333333333334,0.022916666666666665,0.0008333333333333334
gamma4,0.5,32,300,-0.17333333333333334,2.123701226309922,2058.5666666666666,102.22666666666667,0.8033333333333333,-1.5033333333333334,0.025104166666666667,-0.04697916666666667
gamma4,0.5,64,300,-0.04,3.008428093645485,8411.853333333333,237.18,-2.78,-1.0733333333333333,-0.0434375,-0.016770833333333332
gamma4,0.5,128,300,-0.02,4.113311036789297,39459.32666666667,577.44,2.38,6.98,0.01859375,0.05453125
gamma4,0.5,256,300,0.18333333333333332,4.210423634336678,145952.83666666667,1395.7633333333333,-18.083333333333332,1.04,-0.07063802083333333,0.0040625
gamma4,1.0,16,300,-0.10333333333333333,2.4876142697881827,369.24333333333334,40.403333333333336,-0.17333333333333334,0.42333333333333334,-0.010833333333333334,0.026458333333333334
gamma4,1.0,32,300,-0.09666666666666666,2.662865105908584,1474.77,99.97,-1.9733333333333334,-3.5233333333333334,-0.06166666666666667,-0.11010416666666667
gamma4,1.0,64,300,-0.03333333333333333,3.0156075808249723,5782.373333333333,235.07333333333332,-3.183333333333333,3.75,-0.04973958333333333,0.05859375
gamma4,1.0,128,300,-0.0033333333333333335,3.4615273132664437,24993.846666666668,562.46,5.42,3.3066666666666666,0.04234375,0.025833333333333333
gamma4,1.0,256,300,0.023333333333333334,4.2703567447045705,93050.66333333333,1340.1233333333332,-5.07,3.92,-0.0198046875,0.0153125
gamma4,10.0,16,300,-0.016666666666666666,1.8291527313266445,296.61,40.943333333333335,0.056666666666666664,0.2,0.0035416666666666665,0.0125
gamma4,10.0,32,300,-0.11,2.546387959866221,1188.4633333333334,96.41,2.0766666666666667,0.4866666666666667,0.06489583333333333,0.015208333333333334
gamma4,10.0,64,300,0.07666666666666666,2.2716945373467112,5091.126666666667,224.70666666666668,-1.9066666666666667,-1.82,-0.029791666666666668,-0.0284375
gamma4,10.0,128,300,0.07333333333333333,3.6133333333333333,19072.546666666665,543.4066666666666,0.4,0.35333333333333333,0.003125,0.0027604166666666667
gamma4,10.0,256,300,-0.19666666666666666,4.272229654403567,75552.29666666666,1341.3433333333332,15.45,-7.093333333333334,0.0603515625,-0.027708333333333335
gamma4,2.0,16,300,-0.0033333333333333335,1.9498216276477145,335.2033333333333,41.87,-0.89,-1.3,-0.055625,-0.08125
gamma4,2.0,32,300,-0.09,2.510267558528428,1305.0466666666666,98.25333333333333,0.8766666666666667,-0.45,0.027395833333333335,-0.0140625
gamma4,2.0,64,300,0.07666666666666666,2.632898550724638,5114.93,231.68333333333334,-1.21,1.8733333333333333,-0.01890625,0.029270833333333333
gamma4,2.0,128,300,-0.013333333333333334,3.9998216276477145,21040.256666666668,565.21,-6.433333333333334,0.48333333333333334,-0.05026041666666667,0.0037760416666666667
gamma4,2.0,256,300,-0.056666666666666664,4.461661092530658,87707.49666666667,1309.8966666666668,-11.69,-1.72,-0.0456640625,-0.00671875
gamma4,20.0,16,300,-0.043333333333333335,1.9145039018952061,304.01,41.03666666666667,-0.16666666666666666,-1.21,-0.010416666666666666,-0.075625
gamma4,20.0,32,300,-0.03,2.450602006688963,1168.09,96.16333333333333,-0.20333333333333334,-0.6,-0.006354166666666667,-0.01875
gamma4,20.0,64,300,0.043333333333333335,2.911159420289855,5096.116666666667,236.28333333333333,-0.44333333333333336,-0.38666666666666666,-0.006927083333333334,-0.0060416666666666665
gamma4,20.0,128,300,0.09333333333333334,3.6300557413600893,19741.076666666668,555.41,-2.7733333333333334,12.21,-0.021666666666666667,0.095390625
gamma4,20.0,256,300,0.006666666666666667,4.187246376811594,77526.56,1304.4,-1.1533333333333333,10.086666666666666,-0.004505208333333333,0.039401041666666664
gamma4,5.0,16,300,-0.05333333333333334,2.010523968784838,331.72,40.07333333333333,0.04,-0.05333333333333334,0.0025,-0.0033333333333333335
gamma4,5.0,32,300,0.13333333333333333,2.550724637681159,1282.64,99.80666666666667,-0.4633333333333333,-2.0166666666666666,-0.014479166666666666,-0.06302083333333333
gamma4,5.0,64,300,0.12,2.8751839464882942,4884.61,225.95,1.9566666666666668,3.92,0.03057291666666667,0.06125
gamma4,5.0,128,300,0.0033333333333333335,3.3411259754738016,21690.59,558.91,-1.1466666666666667,0.59,-0.008958333333333334,0.004609375
gamma4,5.0,256,300,0.0033333333333333335,4.16386845039019,75187.56,1326.52,8.486666666666666,14.38,0.033151041666666665,0.056171875
symmetric,None,16,300,-0.17333333333333334,1.6755406911928652,297.5233333333333,40.95666666666666,-0.98,0.9166666666666666,-0.06125,0.057291666666666664
symmetric,None,32,300,-0.1,2.68561872909699,1250.8633333333332,100.47,-1.08,0.81,-0.03375,0.0253125
symmetric,None,64,300,0.12666666666666668,2.726376811594203,4716.98,223.95333333333335,4.246666666666667,1.8933333333333333,0.06635416666666667,0.029583333333333333
symmetric,None,128,300,-0.16333333333333333,3.976577480490524,19053.306666666667,562.98,-5.666666666666667,-2.1133333333333333,-0.044270833333333336,-0.016510416666666666
symmetric,None,256,300,0.05333333333333334,4.171059085841694,78742.28,1342.4333333333334,-13.956666666666667,2.57,-0.05451822916666667,0.0100390625
