L,environment_id,environment_seed,samples,replica_1_mean,replica_2_mean,mean_height,conditional_variance,replica_1_variance,replica_2_variance,replica_1_ess,replica_2_ess,start_gap,standardized_start_gap,minimum_pair_swap_acceptance,target_exchange_acceptance
8,40,4404008828895105174,2000,-0.044,0.016,-0.013999999999999999,2.6235117558779404,2.655391695847925,2.6730805402701336,1672.2125407049175,1398.6679384875597,-0.06,1.0143136806375321,NaN,NaN
8,41,7854444964809755994,2000,0.048,-0.046,0.0010000000000000009,2.4167903951975984,2.4949434717358687,2.423095547773889,1513.2301615153017,1629.02595027165,0.094,1.678516830559025,NaN,NaN
8,42,1289103804524300103,2000,0.0,-0.002,-0.001,2.501248624312156,2.4012006003001503,2.5852886443221603,1321.5859030837005,1627.2158693632018,0.002,0.03427105808405025,NaN,NaN
8,43,1948456166731031974,2000,0.024,-0.03,-0.002999999999999999,2.4597718859429745,2.4166323161580765,2.4723361680840434,1566.197067604012,1519.808387655877,0.054,0.9591404965810588,NaN,NaN
8,44,6343541288194504106,2000,0.026,0.058,0.042,2.5607683841920945,2.4885682841420707,2.581926963481744,1552.9934738340755,1716.911978714202,-0.032,0.5741581533693126,NaN,NaN
8,45,1654709561124744032,2000,-0.002,-0.048,-0.025,2.516200100050025,2.569280640320159,2.574983491745874,1685.0522315233331,1460.471358832531,0.046,0.8022334122685327,NaN,NaN
8,46,12640006145080225918,2000,0.04,-0.022,0.009000000000000001,2.635395697848923,2.687743871935967,2.504768384192097,1491.1918432960717,1577.724302162136,0.062,1.0648589346818715,NaN,NaN
8,47,10417874613233373500,2000,0.004,-0.012,-0.004,2.689216608304151,2.7373526763381664,2.6892006003001527,1576.0494602605038,1623.3132563659135,0.016,0.2746621599086671,NaN,NaN
8,48,2671430564874471287,2000,-0.028,-0.02,-0.024,2.3451405702851433,2.4804562281140567,2.496848424212107,1399.3571262095259,1651.1845509043949,-0.008,0.1395855706880267,NaN,NaN
8,49,3535696077480138190,2000,0.072,-0.03,0.020999999999999998,2.5280620310155055,2.508070035017512,2.696448224112057,1702.7438851099873,1471.5055837333389,0.102,1.774141219338137,NaN,NaN
8,50,8955621400792102400,2000,-0.018,0.094,0.038,2.7871215607803888,2.857104552276142,2.6564922461230642,1466.5358375126696,1457.891640956453,-0.112,1.8240108148630407,NaN,NaN
8,51,18185533275699669238,2000,0.038,0.014,0.026,2.6730485242621325,2.6638879439719867,2.6011045522761376,1437.9826622309972,1715.2430405987827,0.024,0.41348706157029047,NaN,NaN
8,52,2794198793696599756,2000,0.008,-0.1,-0.046,2.5554457228614296,2.5612166083041514,2.5992996498249124,1666.868293317975,1490.3753761075322,0.10800000000000001,1.8855890254425391,NaN,NaN
8,53,6485923533420043136,2000,0.002,0.008,0.005,2.4291965982991512,2.6493206603301633,2.38512856428214,1442.2746237211531,1301.571139874448,-0.006,0.0990497729371926,NaN,NaN
8,54,3181029826008726662,2000,0.058,0.01,0.034,2.4000480240120052,2.6459589794897487,2.3290645322661363,1589.1183273078022,1658.343899377803,0.048,0.86637793392073,NaN,NaN
8,55,18169770503894916703,2000,0.042,0.022,0.032,2.561080540270137,2.5675197598799406,2.6168244122061037,1596.244153766278,1554.274228158652,0.020000000000000004,0.3485724392726447,NaN,NaN
8,56,17555592579938479510,2000,-0.002,0.008,0.003,2.4851925962981487,2.42520860430215,2.417144572286143,1642.275940268589,1533.1725388730442,-0.01,0.18097360506867677,NaN,NaN
8,57,12974063265431929190,2000,0.012,0.01,0.011,2.5732846423211604,2.5611365682841454,2.5051525762881472,1675.535364055761,1724.651017152534,0.002,0.036630378032664175,NaN,NaN
8,58,16699886116250834150,2000,0.014,-0.018,-0.001999999999999999,2.6648204102051007,2.617112556278139,2.584968484242124,1407.2057351252863,1542.683756622374,0.032,0.538182018881213,NaN,NaN
8,59,13899056720010026639,2000,0.07,0.098,0.084,2.5048604302151096,2.4363181590795406,2.5916918459229596,1391.211049475649,1578.426051118877,-0.027999999999999997,0.4806792179569789,NaN,NaN
8,60,3162287972988672264,2000,-0.024,0.084,0.030000000000000002,2.6194777388694326,2.6887683841920933,2.5061970985492765,1672.7325179763068,1542.6556926285,-0.10800000000000001,1.899710439804591,NaN,NaN
8,61,4968311604076931646,2000,0.06,-0.01,0.024999999999999998,2.4827913956978507,2.5896948474237136,2.4731365682841453,1566.32273001507,1605.4742130731013,0.06999999999999999,1.2386374564209237,NaN,NaN
8,62,1585511122462155621,2000,-0.036,-0.016,-0.026,2.5530765382691363,2.752080040020009,2.480984492246121,1247.0998340416083,1409.8693034490273,-0.019999999999999997,0.3175599197062257,NaN,NaN
8,63,9557238707284652450,2000,0.034,0.032,0.033,2.6373166583291643,2.7122001000500235,2.6402961480740386,1448.7193679359439,1516.2930345688708,0.0020000000000000018,0.03327137752401447,NaN,NaN
8,64,12970268669675103177,2000,-0.018,0.04,0.011000000000000001,2.827731865932965,2.7450485242621347,2.7677838919459723,1302.6567836073912,1407.366165908039,-0.057999999999999996,0.9087036483124796,NaN,NaN
10,1,14953241247646633210,2000,-0.038,-0.04,-0.039,2.8454207103551776,2.9360240120060035,2.7677838919459723,1242.3279205607503,1319.197799556699,0.0020000000000000018,0.029942919622642537,NaN,NaN
10,2,4811930704084847449,2000,0.02,-0.006,0.007,2.8210725362681344,2.752976488244123,2.745336668334165,1166.6248621851148,1332.1574061217284,0.026000000000000002,0.3910504600104402,NaN,NaN
10,3,12667703688183050840,2000,0.044,-0.01,0.016999999999999998,2.7639239619809937,2.9755517758879444,2.7132566283141593,1295.7313168017017,1301.6770629876348,0.054,0.8158572397420915,NaN,NaN
