L,environment_id,environment_seed,samples,replica_1_mean,replica_2_mean,mean_height,conditional_variance,replica_1_variance,replica_2_variance,replica_1_ess,replica_2_ess,start_gap,standardized_start_gap,minimum_pair_swap_acceptance,target_exchange_acceptance
6,15,85330330499226253,2000,-0.096,-0.09,-0.093,0.5082361180590294,0.4390035017508753,0.624212106053026,1555.0265279904897,814.3582360444584,-0.006000000000000005,0.18526810349773487,0.6291428571428571,0.8834285714285715
6,16,17053691571960805308,2000,-0.756,-0.838,-0.7969999999999999,4.066671335667837,3.750339169584794,3.787649824912457,1445.1283597812467,1400.4012494731019,0.08199999999999996,1.1263726829086131,0.5965714285714285,0.8937142857142857
6,17,1469530626583674222,2000,-1.34,-0.994,-1.167,3.137710855427714,3.5661830915457737,2.9894587293646797,177.91347287757546,538.2334214038809,-0.3460000000000001,2.1625555351987047,0.5865714285714285,0.8902857142857142
6,18,12347979315302287329,2000,-0.036,-0.032,-0.034,0.13606003001500758,0.1427753876938469,0.12703951975987976,1208.7889077659079,1239.2316763606555,-0.003999999999999997,0.26929515562115125,0.4977142857142857,0.8994285714285715
6,19,15397071908704797198,2000,3.598,3.48,3.5389999999999997,1.669872936468235,1.4471195597798883,1.8105052526263121,801.6022921384472,910.89644774546,0.11799999999999988,1.916005599268744,0.5454285714285714,0.8937142857142857
6,20,8701432002209885282,2000,0.008,0.008,0.008,0.032016008004002,0.03195197598799401,0.03195197598799401,1001.0040130431458,1001.0040130431428,0.0,0.0,0.5405714285714286,0.8925714285714286
6,21,12196214089618380065,2000,0.0,0.022,0.011,0.07579589794897452,0.064032016008004,0.08755977988994501,1333.3333333333333,2000.0,-0.022,2.296106936585093,0.6254285714285714,0.8837142857142857
6,22,8616477521613827557,2000,0.088,0.098,0.093,0.3561280640320165,0.3444282141070536,0.3825872936468236,1905.8798643739146,2000.0,-0.010000000000000009,0.5184672131495767,0.5565714285714286,0.8977142857142857
6,23,13305332034285925446,2000,-2.808,-2.772,-2.79,3.441072536268137,3.348810405202599,3.4057188594297143,1720.3056775202394,2000.0,-0.03600000000000003,0.595917362111847,0.5891428571428572,0.8914285714285715
6,24,8289032956055938085,2000,2.152,2.1,2.1260000000000003,3.8965962981490727,3.9788854427213645,3.991995997999003,445.0175926578607,343.1890520112043,0.052000000000000046,0.3625386274002509,0.5834285714285714,0.8914285714285715
6,25,14294742932789967396,2000,-1.006,-0.976,-0.991,3.157128564282141,3.1095187593796867,3.0169324662331145,478.0571498427407,295.9381924078096,-0.030000000000000027,0.2321541999754764,0.5608571428571428,0.8828571428571429
6,26,17237628062784278719,2000,-1.378,-1.226,-1.302,3.6462711355677806,3.614923461730869,3.4826653326663295,320.1835849806556,272.22188958620916,-0.1519999999999999,0.9794505984207909,0.552,0.8831428571428571
6,27,13038210822483140947,2000,1.684,1.64,1.662,4.673368684342171,4.558423211605803,4.624712356178091,532.4749553598823,926.727127939831,0.04400000000000004,0.37797572715166095,0.5748571428571428,0.8934285714285715
6,28,5038930961336602521,2000,0.686,0.398,0.542,3.056056028014007,3.3790935467733876,2.9870895447723833,819.9082952472066,874.540457168063,0.28800000000000003,3.3173830137625053,0.5971428571428572,0.8925714285714286
6,29,11725832673206116777,2000,0.066,0.04,0.053000000000000005,0.3478359179589792,0.33981390695347674,0.35057528764382206,1363.4655729760061,1002.3364967195175,0.026000000000000002,1.0623434740822932,0.62,0.8931428571428571
6,30,9359668446022494711,2000,1.548,1.392,1.47,3.533598799399701,3.7975947973986943,3.6321520760380204,227.64774803632446,314.89543682848284,0.15600000000000014,0.928697119101903,0.5734285714285714,0.8928571428571429
6,31,15484055672229649933,2000,-0.032,-0.048,-0.04,0.15995197598799402,0.1270395197598798,0.18979089544772396,855.5588903953108,1006.1161269824338,0.016,0.8714147950950614,0.5545714285714286,0.8862857142857142
6,32,11013332071307351485,2000,-0.444,-0.39,-0.41700000000000004,1.5072956478239123,1.6116698349174587,1.4086043021510755,833.376152445447,277.896180442442,-0.05399999999999999,0.6452981194416666,0.5997142857142858,0.8865714285714286
6,33,7350973032382596896,2000,0.026,0.004,0.015,0.05978789394697351,0.10337568784392197,0.015991995997998994,1043.8279434854005,1000.5012521288187,0.022,2.051339667789804,0.53,0.892
6,34,1644885968316324121,2000,-3.726,-3.606,-3.666,1.2894447223611794,1.0534507253626813,1.421474737368685,889.3848585207097,266.7566302164739,-0.1200000000000001,1.4869073731189826,0.6108571428571429,0.8848571428571429
6,35,18237492022173351727,2000,1.2,1.092,1.146,3.6279819909954956,3.537768884442221,3.481276638319161,460.4358514938161,286.2362518888927,0.10799999999999987,0.7666369856947256,0.6202857142857143,0.8825714285714286
6,36,16714117759592397957,2000,0.002,0.0,0.001,0.004000000000000002,0.008000000000000004,0.0,2000.0,2000.0,0.002,0.9999999999999998,0.6145714285714285,0.8897142857142857
6,37,6079974122905082602,2000,-0.048,-0.068,-0.058,0.3119559779889944,0.2698309154577289,0.3475497748874435,1918.959262871916,1551.2141818029284,0.020000000000000004,1.0473310091424246,0.5282857142857142,0.8862857142857142
6,38,4394350088696692791,2000,-3.626,-3.736,-3.681,1.198549274637319,1.3728104052026013,0.9867973986993498,908.7764786877956,1007.7576940102672,0.11000000000000032,2.2044951468797382,0.6142857142857143,0.8857142857142857
6,39,14500927098403540208,2000,-0.444,-0.496,-0.47,2.4238599299649817,2.3000140070035013,2.507237618809404,479.7925350350463,641.7742524156029,0.05199999999999999,0.5574826243190821,0.5968571428571429,0.8957142857142857
6,40,3113713482143661353,2000,-0.094,-0.084,-0.089,0.3481240620310159,0.36734767383691846,0.3291085542771385,1548.9048076492477,1813.2380666749332,-0.009999999999999995,0.4887248731360327,0.578,0.892
6,41,4402521790715217611,2000,0.002,0.002,0.002,0.0080040020010005,0.008000000000000004,0.008000000000000004,2000.0,2000.0,0.0,0.0,0.5757142857142857,0.88
6,42,8460970944740556388,2000,0.06,0.024,0.041999999999999996,0.39955177588794416,0.46063031515757863,0.36760780390195125,1676.631529267127,1536.4664563358992,0.036,1.5879059739232173,0.5751428571428572,0.8751428571428571
6,43,14653397441276518923,2000,-1.774,-1.776,-1.775,4.070033016508254,3.9508994497248615,3.951799899949979,1110.4452810428575,1226.8968324806374,0.0020000000000000018,0.02429125528782875,0.6205714285714286,0.886
6,44,1126349316604926119,2000,0.094,0.124,0.109,0.4357678839419714,0.3993636818409206,0.4968724362181093,1930.7388293081758,1988.2063664559844,-0.03,1.403717290184511,0.5997142857142858,0.8891428571428571
6,45,17725418237660166698,2000,-0.63,-0.586,-0.608,2.6003321660830414,2.572386193096549,2.5618849424712375,1660.4725355704968,1013.4208772248904,-0.04400000000000004,0.68908770831964,0.6374285714285715,0.888
6,46,9218292932700435366,2000,-0.266,-0.276,-0.271,1.372636318159081,1.4579729864932476,1.2844662331165584,1250.145608569414,1036.7321933551634,0.010000000000000009,0.2039034043824403,0.644,0.8854285714285715
6,47,7979676135394461205,2000,0.004,-0.004,0.0,0.015975987993997003,0.015991995997999008,0.015991995997999015,1000.5012521287979,1000.5012521287953,0.008,1.4149219084502422,0.6008571428571429,0.8862857142857142
6,48,7856556291115141965,2000,-1.578,-1.59,-1.584,4.033944972486237,4.127979989994997,4.21800900450225,412.7962489416388,215.17290249483887,0.01200000000000001,0.06974513809101127,0.528,0.8894285714285715
6,49,9641274104446803296,2000,-0.09,-0.118,-0.104,0.607911955977989,0.6402201100550274,0.5543531765882942,624.1801782556759,997.9319562402326,0.027999999999999997,0.7041491939682287,0.5854285714285714,0.8814285714285715
6,50,11301554466634842812,2000,-0.024,-0.04,-0.032,0.23198799399699857,0.14349574787393693,0.31855927963981995,1290.5302662748022,870.9371765442177,0.016,0.7326223968542857,0.6297142857142857,0.8977142857142857
6,51,14339712281555121080,2000,0.118,0.09,0.104,0.5198679339669837,0.5543531765882941,0.48014007003501735,1757.7202219367398,1622.7209334212796,0.027999999999999997,1.1325106720392406,0.5788571428571428,0.8942857142857142
6,52,14476099028972570596,2000,0.0,0.004,0.002,0.007995997998999502,0.0,0.015991995997999005,2000.0,1000.5012521287999,-0.004,1.0005008763145795,0.5105714285714286,0.892
6,53,486912619254588716,2000,-0.198,-0.156,-0.177,0.6994677338669334,0.8172046023011508,0.6319799899949975,799.6662344401143,1033.6110526504765,-0.04200000000000001,1.0392215809975636,0.65,0.8868571428571429
6,54,10471442211729750326,2000,-1.848,-1.708,-1.778,5.080740370185091,5.003397698849424,5.005238619309652,1534.1882690839186,1457.8673181465258,-0.14000000000000012,1.711071117166079,0.5382857142857143,0.8962857142857142
