model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
uniform,1,16,conditional,3072,384,training,0.8459531773,0.8457005101,0.8478897126
uniform,1,16,conditional,4096,512,training,0.8448322148,0.8609210595,0.8457257604
uniform,1,16,conditional,5120,640,heldout,0.860443038,0.8727270349,0.8378570195
uniform,1,16,conditional,6144,768,heldout,1.296153846,0.8823732191,0.8274131868
uniform,1,16,disorder,1024,128,training,-0.007133711237,-0.03102729455,-0.006937210085
uniform,1,16,disorder,1536,192,training,-0.01644504378,-0.003407250859,-0.01560516735
uniform,1,16,disorder,2048,256,training,0.01007607608,0.01618948201,-0.003293946997
uniform,1,16,disorder,2560,320,training,-0.01688596491,0.03138988894,0.01680846345
uniform,1,16,disorder,3072,384,training,0.06672240803,0.0438095257,0.04007739132
uniform,1,16,disorder,4096,512,training,0.08402684564,0.06340625857,0.08931107948
uniform,1,16,disorder,5120,640,heldout,0.08734177215,0.0786066655,0.1380527809
uniform,1,16,disorder,6144,768,heldout,0.02884615385,0.09102630227,0.1847217134
uniform,1,8,marginal,1024,256,training,0.825015783,0.8312060629,0.8359998969
uniform,1,8,marginal,1536,384,training,0.8909126798,0.8632091476,0.8607818092
uniform,1,8,marginal,2048,512,training,0.8756131131,0.8859156977,0.8820385703
uniform,1,8,marginal,2560,640,training,0.8778696742,0.9035282662,0.9006266186
uniform,1,8,marginal,3072,768,training,0.920039019,0.9179187824,0.9171761021
uniform,1,8,marginal,4096,1024,training,0.9529530201,0.9406253325,0.9457802921
uniform,1,8,marginal,5120,1280,heldout,1.003718354,0.958237901,0.970067449
uniform,1,8,marginal,6144,1536,heldout,0.9650641026,0.9726284172,0.9912734433
uniform,1,8,conditional,1024,256,training,0.7869580971,0.8291911483,0.7883369881
uniform,1,8,conditional,1536,384,training,0.8771974672,0.854480271,0.8751666092
uniform,1,8,conditional,2048,512,training,0.8993868869,0.8724231892,0.9054649633
uniform,1,8,conditional,2560,640,training,0.9393984962,0.8863407977,0.9110693077
uniform,1,8,conditional,3072,768,training,0.8721237458,0.8977123119,0.9040416055
uniform,1,8,conditional,4096,1024,training,0.880738255,0.9156552301,0.8717234745
uniform,1,8,conditional,5120,1280,heldout,1.058148734,0.9295728386,0.8287586997
uniform,1,8,conditional,6144,1536,heldout,0.8945512821,0.9409443528,0.7820471377
uniform,1,8,disorder,1024,256,training,0.0380576859,0.002014914564,0.04766290881
uniform,1,8,disorder,1536,384,training,0.01371521263,0.008728876598,-0.0143848
uniform,1,8,disorder,2048,512,training,-0.02377377377,0.01349250847,-0.02342639301
uniform,1,8,disorder,2560,640,training,-0.06152882206,0.01718746841,-0.01044268904
uniform,1,8,disorder,3072,768,training,0.04791527313,0.02020647051,0.01313449659
uniform,1,8,disorder,4096,1024,training,0.0722147651,0.02497010238,0.07405681758
uniform,1,8,disorder,5120,1280,heldout,-0.05443037975,0.02866506232,0.1413087493
uniform,1,8,disorder,6144,1536,heldout,0.07051282051,0.03168406441,0.2092263056
uniform,1,4,marginal,1024,512,training,0.8829887185,0.9047320271,0.8728151357
uniform,1,4,marginal,1536,768,training,0.9248182458,0.9299881198,0.9461491082
uniform,1,4,marginal,2048,1024,training,0.977515015,0.9479076028,0.9737211481
uniform,1,4,marginal,2560,1280,training,0.9571021303,0.9618070336,0.981125927
uniform,1,4,marginal,3072,1536,training,1.031917503,0.9731636955,0.9781083908
uniform,1,4,marginal,4096,2048,training,0.9343400447,0.9910831784,0.9567619474
uniform,1,4,marginal,5120,2560,heldout,1.150316456,1.004982609,0.9262226028
uniform,1,4,marginal,6144,3072,heldout,0.8689102564,1.016339271,0.8922024603
uniform,1,4,conditional,1024,512,training,0.8742646993,0.8877926954,0.8652527574
uniform,1,4,conditional,1536,768,training,0.9003627267,0.9184336536,0.9298466598
uniform,1,4,conditional,2048,1024,training,0.9954109109,0.9401737594,0.9584034707
uniform,1,4,conditional,2560,1280,training,0.9230545113,0.9570366956,0.9706798369
