model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,32,4096,256,150,-0.006666666667,-0.04666666667,0.8243847875,0.6905810962,0.9598215884,0.7374496644,0.5696644295,0.9153467562,0.08693512304,-0.0441163311,0.2186129754
gamma,1,32,5120,320,80,-0.0125,0.025,0.9806170886,0.715741693,1.245575554,0.7777689873,0.5252373418,1.049367089,0.2028481013,-0.02737341772,0.4430379747
gamma,1,32,6144,384,40,-0.1,0,0.8153846154,0.5794791667,1.034294872,0.7897435897,0.4663461538,1.147435897,0.02564102564,-0.2179487179,0.2512820513
gamma,1,16,32,4,6000,-0.01683333333,-0.01283333333,0.420012641,0.4093212699,0.4304002577,0.3150445074,0.3032791826,0.3268121215,0.1049681336,0.09386554356,0.1158598996
gamma,1,16,64,8,6000,-0.034,-0.01733333333,0.4970212813,0.4846288117,0.5093971103,0.389259321,0.3749273879,0.4034407835,0.1077619603,0.09494456159,0.1204486456
gamma,1,16,128,16,6000,-0.02083333333,-0.03283333333,0.5615042229,0.5473295452,0.5753998111,0.420498083,0.4056927026,0.4351503997,0.1410061399,0.1265908651,0.1557919987
gamma,1,16,256,32,6000,-0.01833333333,-0.0455,0.6171496777,0.6023734345,0.63258823,0.4931298411,0.4753312427,0.5108846085,0.1240198366,0.1084321158,0.1396465925
gamma,1,16,512,64,5000,-0.0064,-0.0294,0.6733820164,0.6545387888,0.6918141733,0.5405436087,0.5186729921,0.562507525,0.1328384077,0.1143866593,0.1517271454
gamma,1,16,768,96,4000,-0.01225,-0.02975,0.7441684796,0.7211999625,0.7681403382,0.589244186,0.5640572018,0.6148796949,0.1549242936,0.1316621452,0.1790102682
gamma,1,16,1024,128,3000,-0.037,-0.026,0.7737354118,0.7446422613,0.8017973047,0.6179788263,0.5856744984,0.6495182839,0.1557565855,0.1264557019,0.1858082528
gamma,1,16,1536,192,1600,-0.005,-0.038125,0.8163334506,0.7758736662,0.856193578,0.643290924,0.5985594512,0.688692464,0.1730425266,0.1323169168,0.213101841
gamma,1,16,2048,256,1000,-0.015,-0.053,0.8052882883,0.7538386637,0.8545903904,0.6539319319,0.5981363488,0.7091967092,0.1513563564,0.0996238989,0.2037348599
gamma,1,16,2560,320,400,0.04,0.0125,0.8926033835,0.8037262688,0.9828966165,0.7427286967,0.6303220551,0.8641506109,0.1498746867,0.05585181704,0.241079104
gamma,1,16,3072,384,300,-0.04333333333,-0.1066666667,0.8612430323,0.760386845,0.9625139353,0.7220680045,0.612993311,0.8341783724,0.1391750279,0.03999972129,0.2418076923
gamma,1,16,4096,512,150,-0.04,-0.05333333333,0.8635346756,0.7091689038,1.018011186,0.6643400447,0.5029977629,0.8367248322,0.1991946309,0.03955257271,0.3620234899
gamma,1,16,5120,640,80,-0.0875,-0.2375,0.8662974684,0.6689082278,1.061712816,0.7227848101,0.4980221519,0.9771360759,0.1435126582,-0.03924446203,0.326119462
gamma,1,16,6144,768,40,0.125,0.15,0.9932692308,0.6711378205,1.309615385,0.7304487179,0.4307692308,1.046153846,0.2628205128,0.001282051282,0.5474358974
gamma,1,8,32,8,6000,-0.0475,-0.03666666667,0.4888644635,0.4771472732,0.5007494055,0.3710865005,0.3583702145,0.3843258418,0.117777963,0.1047552092,0.1308621229
gamma,1,8,64,16,6000,-0.05083333333,-0.05833333333,0.5526820442,0.5387987439,0.5663598124,0.4214587848,0.4058662037,0.4369883925,0.1312232594,0.117184064,0.1455698026
gamma,1,8,128,32,6000,-0.0585,-0.0325,0.6113626438,0.5961876087,0.6265766437,0.4855762627,0.4682916764,0.5034337442,0.1257863811,0.109896123,0.141850357
gamma,1,8,256,64,6000,-0.05533333333,-0.0565,0.6997396094,0.6818288218,0.717726079,0.5380056537,0.5183170139,0.557965322,0.1617339557,0.1434839466,0.1797298216
gamma,1,8,512,128,5000,-0.0296,-0.0502,0.7635546109,0.7422917724,0.7848344689,0.6158109822,0.5904859692,0.6410823205,0.1477436287,0.1258705221,0.1703914923
gamma,1,8,768,192,4000,-0.046,-0.03225,0.7774913416,0.752826548,0.8016804686,0.6039314516,0.5770924708,0.6312947362,0.17355989,0.1486207677,0.1986835678
gamma,1,8,1024,256,3000,-0.06633333333,-0.029,0.8523302212,0.8213801212,0.8834340697,0.6721938424,0.6382243067,0.7052556255,0.1801363788,0.1484408581,0.2116084862
gamma,1,8,1536,384,1600,-0.0125,-0.03125,0.8593456848,0.8184456692,0.9009793768,0.6990111007,0.652742808,0.7460919325,0.1603345841,0.1190867828,0.2031167136
gamma,1,8,2048,512,1000,-0.085,-0.114,0.8522417417,0.8017384885,0.9028699074,0.6757552553,0.6178034159,0.7342892893,0.1764864865,0.1227325576,0.2310593594
gamma,1,8,2560,640,400,-0.0425,-0.07,0.9101723058,0.8160363409,1.00900838,0.7352098997,0.6339724311,0.8391490445,0.174962406,0.07949749373,0.2682744361
gamma,1,8,3072,768,300,-0.03666666667,-0.02,0.9104960981,0.8042508361,1.016443701,0.6971850613,0.5795700948,0.8190416667,0.2133110368,0.1148804348,0.3138971572
gamma,1,8,4096,1024,150,-0.1133333333,0.06666666667,1.04163311,0.8779373602,1.193400447,0.6917449664,0.5346756152,0.8613333333,0.3498881432,0.1948053691,0.4969149888
gamma,1,8,5120,1280,80,-0.15,0.225,0.9503164557,0.7619442247,1.13275712,0.789556962,0.5616673259,1.030949367,0.1607594937,-0.03481803797,0.3531764241
gamma,1,8,6144,1536,40,-0.4,0.025,1.2125,0.8316987179,1.570192308,0.9971153846,0.6125,1.397155449,0.2153846154,-0.09616987179,0.5487179487
gamma,1,4,32,16,6000,-0.09616666667,-0.08566666667,0.5443806607,0.5313961605,0.5577162138,0.4197648358,0.4048122135,0.4351022698,0.1246158249,0.1106737109,0.1384990658
gamma,1,4,64,32,6000,-0.09083333333,-0.1021666667,0.614924793,0.5999990766,0.6298336115,0.4685138634,0.4517012127,0.4848852764,0.1464109296,0.1307682968,0.1625159839
gamma,1,4,128,64,6000,-0.0875,-0.1071666667,0.6798761738,0.6628320724,0.6970793271,0.5382296494,0.5194035815,0.5570035006,0.1416465244,0.1240711035,0.1589303683
gamma,1,4,256,128,6000,-0.1065,-0.0965,0.7576323554,0.7384896997,0.7767731077,0.5917152859,0.5705496176,0.6129350017,0.1659170695,0.1463884168,0.1855937087
gamma,1,4,512,256,5000,-0.0868,-0.0894,0.81690008,0.7936257802,0.8399822199,0.6684303061,0.6416266853,0.6952087603,0.148469774,0.1251344949,0.1729569414
gamma,1,4,768,384,4000,-0.11075,-0.1155,0.8500346024,0.8238909595,0.87670625,0.6685308515,0.6400211303,0.6981196549,0.1815037509,0.1542552826,0.2082522427
gamma,1,4,1024,512,3000,-0.116,-0.1053333333,0.8910214516,0.8587535123,0.9233439244,0.7065119484,0.6690723894,0.7440655885,0.1845095032,0.1512178782,0.2176090808
gamma,1,4,1536,768,1600,-0.1075,-0.11,0.9224984365,0.8784134811,0.967065368,0.7235741088,0.6719494606,0.7790417253,0.1989243277,0.1536144758,0.2439064063
gamma,1,4,2048,1024,1000,-0.106,-0.06,0.9535355355,0.8918640641,1.015931044,0.7847267267,0.7154027528,0.856176489,0.1688088088,0.1053547297,0.2327818318
gamma,1,4,2560,1280,400,-0.0725,-0.1225,1.002374687,0.9087782738,1.094110589,0.8934837093,0.7662048872,1.024685229,0.1088909774,0.007842105263,0.2087733396
gamma,1,4,3072,1536,300,-0.02333333333,-0.1,0.9562486065,0.8378483835,1.075629459,0.7646098105,0.6488026756,0.880335563,0.191638796,0.07157162765,0.3175953177
gamma,1,4,4096,2048,150,0.02666666667,0.06,1.048165548,0.8841163311,1.205126957,0.8685682327,0.6707829978,1.072418904,0.1795973154,0.01189932886,0.3407203579
gamma,1,4,5120,2560,80,-0.1375,-0.0375,0.9011075949,0.7258702532,1.06416337,0.7417721519,0.5287974684,0.955,0.159335443,-0.01772547468,0.3373536392
gamma,1,4,6144,3072,40,-0.275,0.025,1.012179487,0.7625,1.229174679,1.005128205,0.6713541667,1.321794872,0.007051282051,-0.2884615385,0.3218108974
uniform,1,32,32,2,6000,-0.01333333333,-0.007833333333,0.3358530727,0.327085276,0.3447573443,0.3396248125,0.3272197991,0.3520507362,-0.003771739734,-0.01199355101,0.00456508168
uniform,1,32,64,4,6000,-0.01633333333,-0.02016666667,0.4168160666,0.4064851503,0.4270526852,0.4139783158,0.3996984164,0.4285776063,0.002837750736,-0.007717918264,0.01333926904
uniform,1,32,128,8,6000,-0.004833333333,-0.01533333333,0.4736997138,0.4616922497,0.4854618006,0.4754407818,0.458988023,0.4921414732,-0.001741067956,-0.0134428238,0.01015986414
uniform,1,32,256,16,6000,-0.008833333333,-0.02283333333,0.5489584653,0.5352678182,0.5622915989,0.5511605268,0.5314857587,0.5705937434,-0.002202061455,-0.01619171668,0.0114079166
uniform,1,32,512,32,5000,-0.0288,-0.0272,0.6199393479,0.6028038828,0.6368079936,0.607320184,0.5835157992,0.6302227991,0.01261916383,-0.004369528906,0.0300155131
uniform,1,32,768,48,4000,-0.017,-0.0255,0.6779498625,0.6570472196,0.6987838546,0.6783834709,0.6486470368,0.7082761003,-0.0004336084021,-0.02163494311,0.02055699706
uniform,1,32,1024,64,3000,-0.01666666667,-0.014,0.6853248861,0.6610850728,0.7093204513,0.6782225186,0.6445671793,0.7113310548,0.007102367456,-0.01676536068,0.03099213071
uniform,1,32,1536,96,1600,0.001875,-0.046875,0.7205999844,0.6865331066,0.7534956565,0.7230136023,0.6767883492,0.7695339519,-0.002413617886,-0.03681406348,0.03100017589
uniform,1,32,2048,128,1000,-0.053,-0.016,0.7947622623,0.7457040791,0.8438919795,0.7645800801,0.6971141141,0.8350560561,0.03018218218,-0.02054099099,0.07917565065
uniform,1,32,2560,160,400,0.025,0.0675,0.7705858396,0.6975279605,0.8417161654,0.7622525063,0.6641102757,0.8604013941,0.008333333333,-0.06390366541,0.08213095238
uniform,1,32,3072,192,300,-0.01,0.03666666667,0.7584726867,0.6751325251,0.8387033166,0.8082720178,0.6753846154,0.9414659978,-0.0497993311,-0.1408269231,0.0406722408
uniform,1,32,4096,256,150,-0.1133333333,-0.006666666667,0.8391498881,0.6901538031,0.9943959732,0.8063534676,0.601988255,1.029106823,0.03279642058,-0.1000447427,0.1668903803
uniform,1,32,5120,320,80,-0.025,-0.1,0.8680379747,0.6732594937,1.060773339,0.8579113924,0.5819521361,1.153194225,0.01012658228,-0.1987420886,0.2151898734
uniform,1,32,6144,384,40,0.05,0,0.8705128205,0.6121794872,1.092355769,0.8705128205,0.5525641026,1.184294872,0,-0.2051282051,0.1987179487
uniform,1,16,32,4,6000,-0.02433333333,-0.02466666667,0.4236369951,0.4131508151,0.4341530748,0.4234038451,0.4084847047,0.4384385842,0.0002331499694,-0.01040296299,0.01117351434
uniform,1,16,64,8,6000,-0.031,-0.0185,0.4853459327,0.4731758703,0.4968608657,0.4942542507,0.4769981493,0.5114435423,-0.008908318053,-0.02120731164,0.003342620992
uniform,1,16,128,16,6000,-0.01883333333,-0.0305,0.5586172973,0.5443589977,0.5723785166,0.5668597544,0.5468009279,0.5867417472,-0.008242457076,-0.02220433197,0.005765702617
uniform,1,16,256,32,6000,-0.01066666667,-0.03266666667,0.6123449464,0.5970342373,0.6279394059,0.620528088,0.5988159471,0.642825107,-0.008183141635,-0.02338634356,0.007162064511
uniform,1,16,512,64,5000,-0.0284,-0.0448,0.6999331866,0.6812172925,0.7185906141,0.6792013603,0.6530056411,0.7054414908,0.02073182637,0.001429865973,0.04028358372
uniform,1,16,768,96,4000,-0.01225,-0.006,0.7172112716,0.695703708,0.7389320924,0.7245366029,0.6943179193,0.7544577793,-0.007325331333,-0.02860131283,0.01412405758
uniform,1,16,1024,128,3000,-0.041,-0.01133333333,0.7661840058,0.7388113274,0.7928381405,0.773317717,0.7343241122,0.8124732202,-0.007133711237,-0.034968345,0.02039610426
uniform,1,16,1536,192,1600,-0.026875,-0.006875,0.8032422608,0.7635762733,0.8421064044,0.8196873046,0.7632700125,0.8763445171,-0.01644504378,-0.05639210053,0.02278686875
uniform,1,16,2048,256,1000,0.002,-0.033,0.8347882883,0.7822239239,0.8867523899,0.8247122122,0.7509488363,0.8956076952,0.01007607608,-0.04086866867,0.06256336336
