model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
uniform,1,32,marginal,5120,320,heldout,0.8680379747,0.8488002185,0.8387932792
uniform,1,32,marginal,6144,384,heldout,0.8705128205,0.8669692457,0.8539405916
uniform,1,32,conditional,128,8,training,0.4754407818,0.4807021422,0.4746363209
uniform,1,32,conditional,256,16,training,0.5511605268,0.5487937169,0.5489922619
uniform,1,32,conditional,512,32,training,0.607320184,0.6168852915,0.6203121563
uniform,1,32,conditional,768,48,training,0.6783834709,0.6567163093,0.6606241945
uniform,1,32,conditional,1024,64,training,0.6782225186,0.6849768661,0.6885960041
uniform,1,32,conditional,1536,96,training,0.7230136023,0.7248078839,0.7271320689
uniform,1,32,conditional,2048,128,training,0.7645800801,0.7530684407,0.7538438054
uniform,1,32,conditional,2560,160,training,0.7622525063,0.7749890316,0.774202887
uniform,1,32,conditional,3072,192,training,0.8082720178,0.7928994585,0.7906038968
uniform,1,32,conditional,4096,256,training,0.8063534676,0.8211600154,0.8160555602
uniform,1,32,conditional,5120,320,heldout,0.8579113924,0.8430806063,0.8354372531
uniform,1,32,conditional,6144,384,heldout,0.8705128205,0.8609910331,0.8510396782
uniform,1,32,disorder,128,8,training,-0.001741067956,0.0004873983764,-0.001388360995
uniform,1,32,disorder,256,16,training,-0.002202061455,0.001470540914,0.001531937818
uniform,1,32,disorder,512,32,training,0.01261916383,0.002453683452,0.003513387223
uniform,1,32,disorder,768,48,training,-0.0004336084021,0.00302878497,0.004237236699
uniform,1,32,disorder,1024,64,training,0.007102367456,0.00343682599,0.004555987219
uniform,1,32,disorder,1536,96,training,-0.002413617886,0.004011927508,0.004730644997
uniform,1,32,disorder,2048,128,training,0.03018218218,0.004419968528,0.004659737807
uniform,1,32,disorder,2560,160,training,0.008333333333,0.004736469732,0.00449336694
uniform,1,32,disorder,3072,192,training,-0.0497993311,0.004995070046,0.004285203887
uniform,1,32,disorder,4096,256,training,0.03279642058,0.005403111066,0.003824638987
uniform,1,32,disorder,5120,320,heldout,0.01012658228,0.00571961227,0.003356026118
uniform,1,32,disorder,6144,384,heldout,0,0.005978212584,0.002900913369
uniform,1,16,marginal,128,16,training,0.5586172973,0.5445581058,0.559012729
uniform,1,16,marginal,256,32,training,0.6123449464,0.6185823633,0.618109238
uniform,1,16,marginal,512,64,training,0.6999331866,0.6926066208,0.6844405313
uniform,1,16,marginal,768,96,training,0.7172112716,0.7359080355,0.7265956927
