model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
uniform,1,16,2560,320,400,0.0525,-0.0125,0.8381390977,0.7591122337,0.9180704104,0.8550250627,0.7512249373,0.9620986059,-0.01688596491,-0.09675610902,0.06310823935
uniform,1,16,3072,384,300,-0.07,-0.05,0.9126755853,0.806190078,1.027222965,0.8459531773,0.7187068004,0.9758083891,0.06672240803,-0.04395317726,0.1872040134
uniform,1,16,4096,512,150,-0.08,-0.04,0.9288590604,0.7829955257,1.07501566,0.8448322148,0.6636241611,1.030534676,0.08402684564,-0.06644630872,0.2366006711
uniform,1,16,5120,640,80,-0.025,-0.05,0.9477848101,0.7388390032,1.145492484,0.860443038,0.6075098892,1.121518987,0.08734177215,-0.1370253165,0.3245253165
uniform,1,16,6144,768,40,-0.025,0.125,1.325,0.8496794872,1.781410256,1.296153846,0.7487179487,1.856089744,0.02884615385,-0.3320673077,0.3769230769
uniform,1,8,32,8,6000,-0.05466666667,-0.05833333333,0.4888858699,0.4770582719,0.5003762381,0.4870744569,0.4699949575,0.5042087254,0.001811413013,-0.01050873687,0.01421689587
uniform,1,8,64,16,6000,-0.05083333333,-0.048,0.5608994694,0.5476885245,0.5743610897,0.5535049036,0.5345454562,0.5723381841,0.007394565761,-0.006883894538,0.02144534714
uniform,1,8,128,32,6000,-0.0335,-0.04783333333,0.6310667056,0.6155315164,0.6466345658,0.6275018614,0.6050998444,0.6498949301,0.003564844141,-0.01202542299,0.01913362019
uniform,1,8,256,64,6000,-0.054,-0.05783333333,0.6917349419,0.6741656092,0.7094066428,0.6908577957,0.6661508529,0.7158677505,0.000877146191,-0.01641336056,0.01842626479
uniform,1,8,512,128,5000,-0.0602,-0.055,0.7302215243,0.7100745194,0.7498512462,0.7275319864,0.6990058612,0.7557951715,0.002689537908,-0.01780071614,0.02326804761
uniform,1,8,768,192,4000,-0.02575,-0.04125,0.7880146912,0.7643320299,0.8116729651,0.8015802701,0.7681332052,0.8354283571,-0.01356557889,-0.03771862653,0.01039101182
uniform,1,8,1024,256,3000,-0.04033333333,-0.065,0.825015783,0.7957350895,0.854961715,0.7869580971,0.7461493665,0.8271024453,0.0380576859,0.008251617206,0.06859684895
uniform,1,8,1536,384,1600,-0.023125,-0.001875,0.8909126798,0.8486894446,0.9326982049,0.8771974672,0.8175359649,0.9384310507,0.01371521263,-0.0299493238,0.05742893019
uniform,1,8,2048,512,1000,-0.05,-0.055,0.8756131131,0.8207646647,0.928512037,0.8993868869,0.8200980981,0.9803691692,-0.02377377377,-0.07958558559,0.03127945445
uniform,1,8,2560,640,400,-0.055,-0.025,0.8778696742,0.7919634242,0.9631972901,0.9393984962,0.8053772713,1.077746162,-0.06152882206,-0.1512285401,0.02590632832
uniform,1,8,3072,768,300,0.02333333333,-0.04666666667,0.920039019,0.8148212096,1.020759755,0.8721237458,0.7359810479,1.014026616,0.04791527313,-0.05097324415,0.1471571906
uniform,1,8,4096,1024,150,-0.18,-0.12,0.9529530201,0.8084994407,1.09199217,0.880738255,0.6877091723,1.078769575,0.0722147651,-0.07637919463,0.2180805369
uniform,1,8,5120,1280,80,-0.2125,0.1,1.003718354,0.7789497627,1.236004747,1.058148734,0.760650712,1.376898734,-0.05443037975,-0.2514359177,0.1455696203
uniform,1,8,6144,1536,40,-0.25,0.175,0.9650641026,0.7137820513,1.176290064,0.8945512821,0.6022435897,1.174358974,0.07051282051,-0.1641025641,0.3025641026
uniform,1,4,32,16,6000,-0.1133333333,-0.1256666667,0.5436056565,0.5308403414,0.5561126684,0.5525160304,0.5337477607,0.5715060132,-0.008910373951,-0.02229661819,0.00448370145
uniform,1,4,64,32,6000,-0.1071666667,-0.09783333333,0.6157412624,0.6012685347,0.6305502212,0.6163925099,0.5952827666,0.63791318,-0.0006512474301,-0.01652436448,0.01444373854
uniform,1,4,128,64,6000,-0.0905,-0.1001666667,0.6888363338,0.6721751066,0.7063759172,0.7027370673,0.6779110057,0.7277872267,-0.01390073346,-0.03128988234,0.00372227524
uniform,1,4,256,128,6000,-0.1105,-0.096,0.763164069,0.7442912944,0.7824368506,0.7662725871,0.739786727,0.7927646313,-0.003108518086,-0.02261231455,0.015900191
uniform,1,4,512,256,5000,-0.0796,-0.11,0.8127444689,0.7896992594,0.8347925055,0.80969986,0.7777116223,0.8416649475,0.003044608922,-0.02011725345,0.02552002501
uniform,1,4,768,384,4000,-0.102,-0.117,0.8346621655,0.8085624805,0.8600578395,0.8430982746,0.8069911564,0.879343285,-0.008436109027,-0.03452548137,0.01754330301
uniform,1,4,1024,512,3000,-0.1283333333,-0.1086666667,0.8829887185,0.8514357466,0.9131775411,0.8742646993,0.8317154385,0.9184726353,0.008724019117,-0.02333285262,0.03975175058
uniform,1,4,1536,768,1600,-0.093125,-0.073125,0.9248182458,0.8777258345,0.9704163491,0.9003627267,0.836316609,0.9656046699,0.02445551907,-0.02113534826,0.06997525797
uniform,1,4,2048,1024,1000,-0.098,-0.111,0.977515015,0.9198405906,1.035079192,0.9954109109,0.9140290791,1.078028028,-0.0178958959,-0.0766457958,0.03965795796
uniform,1,4,2560,1280,400,-0.045,0.0325,0.9571021303,0.8670550595,1.047431156,0.9230545113,0.8001203008,1.047310777,0.03404761905,-0.0565297619,0.1269927945
uniform,1,4,3072,1536,300,-0.1833333333,-0.19,1.031917503,0.9113692865,1.149025084,1.020044593,0.8606369844,1.182134894,0.0118729097,-0.1007026198,0.1289665552
uniform,1,4,4096,2048,150,-0.18,-0.1066666667,0.9343400447,0.7884742729,1.074384787,0.9536689038,0.7650111857,1.140850112,-0.01932885906,-0.14550783,0.1073870246
uniform,1,4,5120,2560,80,-0.125,-0.25,1.150316456,0.8878876582,1.412264636,1.068037975,0.706002769,1.472705696,0.08227848101,-0.1672468354,0.3091772152
uniform,1,4,6144,3072,40,-0.175,0,0.8689102564,0.6141025641,1.08974359,0.7407051282,0.441025641,1.05,0.1282051282,-0.1038461538,0.3435897436
