L,environment_id,environment_seed,exact_mean,mcmc_mean,mcmc_minus_exact_mean,estimated_mcmc_mean_standard_error,standardized_mean_error,zero_standard_error_inconsistent,exact_conditional_variance,mcmc_conditional_variance,mcmc_minus_exact_conditional_variance,extremal_start_gap,standardized_extremal_start_gap,minimum_chain_ess,minimum_pair_swap_acceptance,target_exchange_acceptance
2,12,11268415986047989819,0.03840316809520673,0.034,-0.00440316809520673,0.00580722497678241,-0.7582224061941508,false,0.15322803303749186,0.1360360180090045,-0.017192015028487356,-0.008,0.6887971476896814,2000.0,0.8885714285714286,0.9597142857142857
2,13,4041576417893040964,0.7651997810550344,0.778,0.012800218944965636,0.02509254841567504,0.510120324684498,false,2.476765976309069,2.385120560280139,-0.09164541602893017,0.01200000000000001,0.23911481211895844,1983.3165002810679,0.9134285714285715,0.9734285714285714
2,14,9608222450850241923,0.0017374406963230826,0.004,0.0022625593036769177,0.002449081256206039,0.9238400310089877,false,0.01723535640779793,0.0240040020010005,0.006768645593202567,-0.004,0.8166327658308377,2000.0,0.8802857142857143,0.9731428571428572
2,15,11783809464752416572,-0.004267555416205382,-0.003,0.0012675554162053819,0.0017317619639401597,0.7319455228831794,false,0.026475787633011283,0.012004002001000512,-0.014471785632010771,-0.002,0.5774465664581109,2000.0,0.8188571428571428,0.978
2,16,17488108566552188701,9.320227248959222e-5,0.0,-9.320227248959222e-5,0.0,NaN,true,0.00037334796774037005,0.0,-0.00037334796774037005,0.0,0.0,2000.0,0.8805714285714286,0.9685714285714285
2,17,9168956008631356884,0.00026349036883094486,0.0,-0.00026349036883094486,0.0,NaN,true,0.0013901575693890354,0.0,-0.0013901575693890354,0.0,0.0,2000.0,0.8568571428571429,0.9711428571428572
2,18,7084167817291987927,0.0033042672886627695,0.0,-0.0033042672886627695,0.0,NaN,true,0.013216931791166644,0.0,-0.013216931791166644,0.0,0.0,2000.0,0.8525714285714285,0.9828571428571429
2,19,2016393574280746586,-3.9367861063566156e-5,0.0,3.9367861063566156e-5,0.0,NaN,true,0.00016459721613248934,0.0,-0.00016459721613248934,0.0,0.0,2000.0,0.7911428571428571,0.9754285714285714
2,20,18209828889037580146,-0.004103143157674769,-0.002,0.002103143157674769,0.0014138597878679048,1.4875189008991485,false,0.019577982259783244,0.007995997998999506,-0.011581984260783738,-0.004,1.414567425399369,2000.0,0.8888571428571429,0.9648571428571429
2,21,13066138278044702885,-0.00013952296960462705,0.0,0.00013952296960462705,0.0,NaN,true,0.0005580734692295156,0.0,-0.0005580734692295156,0.0,0.0,2000.0,0.8311428571428572,0.9811428571428571
2,22,8827126381907060372,-0.006711649592825657,-0.013999999999999999,-0.007288350407174342,0.003994368221476882,-1.8246566172809024,false,0.03793575093058085,0.06399999999999999,0.026064249069419135,-0.007999999999999998,1.0014099297337777,2000.0,0.9074285714285715,0.9771428571428571
