distribution,distribution_params,L,log_L,log_log_L,observations,environments,walks_per_environment_min,walks_per_environment_max,mean_winding,annealed_variance,annealed_variance_se,quenched_variance,quenched_variance_se,environment_mean_variance,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
bernoulli,"{""a"":0.8}",128,4.852030263919617,1.5793972284736488,2000,200,10,10,-0.0865,3.9029692346173133,0.13836869889497536,3.355277777777778,0.10966596314399363,0.8856962311557789,-0.00539453125,0.026359375,24837.2875,567.8815,0.10318411719222786
bernoulli,"{""a"":0.8}",256,5.545177444479562,1.7129286210981716,2000,200,10,10,-0.0215,4.017046273136568,0.15110172788933807,3.5578333333333334,0.12925030426771672,0.8170731155778894,-0.004361328125,0.00819921875,98075.1445,1331.0435,0.42854624417796733
bernoulli,"{""a"":0.8}",512,6.238324625039508,1.830711656754555,2000,200,10,10,-0.0375,4.938563031515758,0.16994859753035632,4.441166666666668,0.15507802985595337,0.9437625628140703,0.012388671875,0.0157578125,406331.097,3196.463,2.199615543419437
bernoulli,"{""a"":0.8}",1024,6.931471805599453,1.9360721724123813,2000,200,10,10,0.021,5.370244122061034,0.18086943344060244,4.616111111111111,0.15382532092168652,1.2191547738693467,-0.02122900390625,-0.03827587890625,1.580047818e6,7578.832,13.507296807012695
bernoulli,"{""a"":0.8}",2048,7.6246189861593985,2.0313823522167063,500,100,5,5,-0.064,6.412729458917834,0.41568970220136703,5.654000000000001,0.3822221576227335,1.895660606060606,0.0507734375,0.03399609375,6.545729264e6,17849.444,1.502163885998
bernoulli,"{""a"":0.8}",4096,8.317766166719343,2.118393729206336,500,100,5,5,-0.084,6.289523046092185,0.386286605870834,5.8649999999999975,0.4066030129020321,1.6009535353535356,0.10961474609375,-0.00916943359375,2.5183351404e7,42514.044,5.533403149422001
beta,"{""a"":0.5}",32,3.4657359027997265,1.242924991852436,2000,200,10,10,0.084,2.625256628314157,0.09413259107501504,2.3561111111111113,0.08010511542941669,0.5059738693467338,-0.00184375,-0.03675,1464.775,99.922,0.007907001317711547
beta,"{""a"":0.5}",64,4.1588830833596715,1.4252465486463906,2000,200,10,10,0.119,3.1944362181090553,0.10716276381680083,2.857777777777778,0.10286454906240668,0.6239587939698491,-0.0438984375,0.0190625,5751.0405,236.3695,0.03002024854783667
beta,"{""a"":0.5}",128,4.852030263919617,1.5793972284736488,2000,200,10,10,-0.0665,3.4888221610805417,0.1173954811988557,3.157944444444445,0.11052331618906541,0.6481685929648241,-0.036828125,0.01933984375,23767.8935,558.9155,0.11451751627307385
beta,"{""a"":0.5}",256,5.545177444479562,1.7129286210981716,2000,200,10,10,-0.0145,4.291435467733872,0.15646551791693397,3.8169444444444447,0.1390547516045138,0.8583314070351757,0.008234375,-0.003490234375,94620.3605,1336.1875,0.5065231382549973
beta,"{""a"":0.5}",512,6.238324625039508,1.830711656754555,2000,200,10,10,0.0595,4.564241870935465,0.15242669191649116,4.040055555555555,0.13424236229246214,0.9305625628140702,-0.0455009765625,-0.04548046875,363591.9095,3175.5915,2.1784757586669294
beta,"{""a"":0.5}",1024,6.931471805599453,1.9360721724123813,2000,200,10,10,0.065,5.2814157078539345,0.18753391743863568,4.833111111111111,0.18788616102393407,0.9336432160804022,0.0258857421875,0.01133349609375,1.4919911055e6,7498.2655,13.597886863883236
