distribution,distribution_params,variance_kind,model,intercept,coefficient,n_sizes,sse,r2,aic,bic
exponential,{},quenched,a_plus_b_log_L,-0.0817255291005301,0.6778138159203027,8,0.30977676811434457,0.967666443341613,-22.010759083506663,-21.85187600014699
exponential,{},quenched,a_plus_b_log_L_squared,1.8001205216064426,0.056711643425312076,8,0.44450863387866113,0.9536035410720255,-19.121818736781126,-18.962935653421454
gamma,"{""shape"":0.5}",quenched,a_plus_b_log_L,-0.31597619047619085,0.6934645762891422,8,0.14553027089947038,0.98522458112851,-28.05450166616199,-27.895618582802317
gamma,"{""shape"":0.5}",quenched,a_plus_b_log_L_squared,1.6190815880239091,0.057759005909091866,8,0.37276255021190097,0.962154108661075,-20.530041586693617,-20.371158503333945
gamma,"{""shape"":1.0}",quenched,a_plus_b_log_L,-0.48771362433862286,0.7820170452327645,8,0.1959274055702528,0.9843713487091159,-25.67562087826066,-25.516737794900987
gamma,"{""shape"":1.0}",quenched,a_plus_b_log_L_squared,1.6580863287104761,0.0661109870862953,8,0.12087227425019065,0.9903583134809848,-29.539699338370518,-29.380816255010846
gamma,"{""shape"":2.0}",quenched,a_plus_b_log_L,-0.5584047619047636,0.8134281039272522,8,0.22073061463844756,0.9837369131368751,-24.722030407530546,-24.563147324170874
gamma,"{""shape"":2.0}",quenched,a_plus_b_log_L_squared,1.684380424183325,0.06847652079599503,8,0.25255622096417857,0.9813920521804791,-23.644503515577096,-23.485620432217424
inverse_gamma,"{""alpha"":2.2}",quenched,a_plus_b_log_L,-0.553238756613756,0.8229353879136393,8,0.42742288264256223,0.9696715149056528,-19.435383520296355,-19.276500436936683
inverse_gamma,"{""alpha"":2.2}",quenched,a_plus_b_log_L_squared,1.7057739517308637,0.06954505609847618,8,0.3542384326532972,0.9748644364612673,-20.937812765478913,-20.77892968211924
lognormal,"{""sigma"":0.5}",quenched,a_plus_b_log_L,0.058510582010581125,0.7223570253077495,8,0.7801672858612593,0.9310171102020732,-14.62150763936511,-14.462624556005437
lognormal,"{""sigma"":0.5}",quenched,a_plus_b_log_L_squared,2.0667249670440797,0.06036596782149379,8,0.958081405394439,0.9152858300988531,-12.978112575884214,-12.819229492524542
lognormal,"{""sigma"":1.0}",quenched,a_plus_b_log_L,-0.4864103174603187,0.782362070713443,8,0.18281728821869536,0.9854145297173321,-26.229676732906302,-26.07079364954663
lognormal,"{""sigma"":1.0}",quenched,a_plus_b_log_L_squared,1.6674565153403034,0.0659489336977314,8,0.17944600586184017,0.98568349628559,-26.378579687856327,-26.219696604496654
pareto,"{""alpha"":2.0}",quenched,a_plus_b_log_L,-0.2734777777777788,0.7738455899879414,8,0.23754059703703767,0.9807214362748884,-24.134866215217528,-23.975983131857856
pareto,"{""alpha"":2.0}",quenched,a_plus_b_log_L_squared,1.8610243982158656,0.06512142631300298,8,0.2748307818091357,0.9776950011626705,-22.968330010159505,-22.809446926799833
pareto,"{""alpha"":3.0}",quenched,a_plus_b_log_L,-0.2562281746031756,0.7993188899261774,8,0.22659486585096913,0.9827279843387751,-24.512265037169243,-24.35338195380957
pareto,"{""alpha"":3.0}",quenched,a_plus_b_log_L_squared,1.9587289736713802,0.06699136497161708,8,0.370769284185747,0.9717384025489384,-20.572934616075457,-20.414051532715785
