distribution,distribution_params,variance_kind,L,variance,log_variance,log_log_L,log_variance_over_log_log_L
triangular,"{""a"":0.8}",annealed,256,4.244926463231615,1.4457244964640559,1.7129286210981716,0.8440074377046668
triangular,"{""a"":0.8}",quenched,256,4.164555555555555,1.4266095605745512,1.7129286210981716,0.8328482243819015
triangular,"{""a"":0.8}",annealed,512,4.401471735867933,1.4819389704209671,1.830711656754555,0.8094879196039619
triangular,"{""a"":0.8}",quenched,512,4.333444444444444,1.4663627094903424,1.830711656754555,0.8009796103499323
triangular,"{""a"":0.8}",annealed,1024,5.615801650825412,1.7255843475145753,1.9360721724123813,0.8912810029000446
triangular,"{""a"":0.8}",quenched,1024,5.622055555555557,1.726697354249026,1.9360721724123813,0.8918558816418138
triangular,"{""a"":0.8}",annealed,2048,5.8016032064128265,1.758134294255577,2.0313823522167063,0.8654866437807965
triangular,"{""a"":0.8}",quenched,2048,5.672000000000001,1.7355417892298264,2.0313823522167063,0.8543649044385713
triangular,"{""a"":0.8}",annealed,4096,5.724613226452907,1.7447749884599295,2.118393729206336,0.8236311146529006
triangular,"{""a"":0.8}",quenched,4096,5.2860000000000005,1.6650618161820976,2.118393729206336,0.78600205109459
uniform,"{""a"":0.7}",annealed,16,1.916043968793758,0.6502626275075744,1.0197814405382262,0.6376490115022833
uniform,"{""a"":0.7}",quenched,16,1.8691777777777776,0.6254986431461246,1.0197814405382262,0.6133653921138192
uniform,"{""a"":0.7}",annealed,32,2.4703772354470894,0.9043708658799756,1.242924991852436,0.7276149983372008
uniform,"{""a"":0.7}",quenched,32,2.3794888888888885,0.8668857120530549,1.242924991852436,0.6974561761454824
uniform,"{""a"":0.7}",annealed,64,3.0267979995999195,1.1075052949419888,1.4252465486463906,0.7770622535405033
uniform,"{""a"":0.7}",quenched,64,2.9568444444444446,1.0841226336172909,1.4252465486463906,0.7606562069186712
