distribution,distribution_params,variance_kind,L,variance,log_variance,log_log_L,log_variance_over_log_log_L
gamma,"{""shape"":1.0}",annealed,512,4.660006003001495,1.5390167363344704,1.830711656754555,0.8406658310478042
gamma,"{""shape"":1.0}",quenched,512,4.210444444444445,1.4375682108739511,1.830711656754555,0.7852510282380789
gamma,"{""shape"":1.0}",annealed,1024,5.286579289644821,1.6651713995920734,1.9360721724123813,0.8600771310695714
gamma,"{""shape"":1.0}",quenched,1024,4.698555555555554,1.5472551328756978,1.9360721724123813,0.7991722389913748
gamma,"{""shape"":1.0}",annealed,2048,6.173671342685371,1.8202936921858048,2.0313823522167063,0.8960861997247563
gamma,"{""shape"":1.0}",quenched,2048,5.712,1.7425692250372833,2.0313823522167063,0.8578243397338461
gamma,"{""shape"":1.0}",annealed,4096,6.722741482965933,1.905496030117195,2.118393729206336,0.899500411017123
gamma,"{""shape"":1.0}",quenched,4096,6.108999999999998,1.8097630936676297,2.118393729206336,0.8543091252189762
gamma,"{""shape"":1.0}",annealed,8192,7.148440881763527,1.9668942744330944,2.1984364368798723,0.8946787095762505
gamma,"{""shape"":1.0}",quenched,8192,6.501999999999999,1.8721098218817134,2.1984364368798723,0.8515642255905759
gamma,"{""shape"":2.0}",annealed,16,2.0240046409281858,0.7050780443712987,1.0197814405382262,0.6914011339519658
gamma,"{""shape"":2.0}",quenched,16,1.929822222222222,0.6574278858359193,1.0197814405382262,0.6446752801158434
gamma,"{""shape"":2.0}",annealed,32,2.3975885442721365,0.8744634590109607,1.242924991852436,0.7035528811015972
gamma,"{""shape"":2.0}",quenched,32,2.2365,0.8049121438907657,1.242924991852436,0.6475951076429296
gamma,"{""shape"":2.0}",annealed,64,3.035476738369188,1.110368492363202,1.4252465486463906,0.7790711673133046
gamma,"{""shape"":2.0}",quenched,64,2.911666666666667,1.0687256549179103,1.4252465486463906,0.7498531786889213
gamma,"{""shape"":2.0}",annealed,128,3.6722798899449702,1.3008126926053358,1.5793972284736488,0.8236133818358407
gamma,"{""shape"":2.0}",quenched,128,3.4327222222222225,1.2333535971972445,1.5793972284736488,0.7809014571902057
gamma,"{""shape"":2.0}",annealed,256,4.144916458229115,1.421882633554018,1.7129286210981716,0.8300886657159352
gamma,"{""shape"":2.0}",quenched,256,3.9913333333333325,1.3841253438350505,1.7129286210981716,0.8080461303446942
gamma,"{""shape"":2.0}",annealed,512,4.931721860930463,1.5956881889288967,1.830711656754555,0.8716217996654358
gamma,"{""shape"":2.0}",quenched,512,4.536666666666666,1.5121925279952648,1.830711656754555,0.8260134917565589
gamma,"{""shape"":2.0}",annealed,1024,5.07109454727364,1.62355668133906,1.9360721724123813,0.8385827266532522
gamma,"{""shape"":2.0}",quenched,1024,4.688000000000001,1.5450060522747115,1.9360721724123813,0.798010567111042
gamma,"{""shape"":2.0}",annealed,2048,6.478633266533063,1.8685095724598697,2.0313823522167063,0.9198217019168721
gamma,"{""shape"":2.0}",quenched,2048,5.634000000000001,1.728819669454181,2.0313823522167063,0.8510557687811162
gamma,"{""shape"":2.0}",annealed,4096,6.385166332665328,1.853977539680092,2.118393729206336,0.8751808099312546
