distribution,distribution_params,L,log_L,log_log_L,pairs,observations,walks,environments,walks_per_environment_min,walks_per_environment_max,mean_winding_1,mean_winding_2,mean_winding_difference,variance_winding_1,variance_winding_2,covariance_winding_1_winding_2,correlation_winding_1_winding_2,pooled_single_winding_variance,double_dimer_variance,double_dimer_variance_se,variance_ratio_to_twice_pooled,variance_identity_rhs,variance_identity_residual,mean_winding,annealed_variance,annealed_variance_se,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
gamma,"{""shape"":1.0}",512,6.238324625039508,1.830711656754555,2000,2000,4000,2000,2,2,-0.009,-0.057,0.048,4.860349174587299,4.927214607303652,0.4472106053026514,0.09138556880656211,4.893134283570891,8.893142571285642,0.28729062474486877,0.9087368193782372,8.893142571285647,-5.329070518200751e-15,0.048,8.893142571285642,0.28729062474486877,-0.00353857421875,0.00419189453125,396038.459,3180.932,0.0945349587504461
gamma,"{""shape"":1.0}",1024,6.931471805599453,1.9360721724123813,2000,2000,4000,2000,2,2,-0.039,-0.0105,-0.0285,5.233095547773886,5.659219359679838,0.4893351675837919,0.0899184542586647,5.444998687171792,9.913644572286147,0.3312807917604463,0.9103440736948488,9.91364457228614,7.105427357601002e-15,-0.0285,9.913644572286147,0.3312807917604463,-0.01285546875,0.017004150390625,1.60533390775e6,7575.36475,0.35008218824971116
gamma,"{""shape"":1.0}",2048,7.6246189861593985,2.0313823522167063,500,500,1000,500,2,2,-0.022,0.128,-0.15,6.225967935871741,5.630877755511018,0.8224609218436872,0.1389068883481522,5.928119119119113,10.21192384769539,0.6337680785936946,0.8613123018024668,10.211923847695385,5.329070518200751e-15,-0.15,10.21192384769539,0.6337680785936946,-0.0072275390625,0.02174072265625,6.309625747e6,17807.871,1.2253234170009382
gamma,"{""shape"":1.0}",4096,8.317766166719343,2.118393729206336,500,500,1000,500,2,2,-0.156,0.054,-0.21,6.608881763527058,6.175434869739483,0.6837915831663325,0.10703504273303449,6.396795795795797,11.416733466933865,0.700001083658253,0.8923790778531143,11.416733466933877,-1.2434497875801753e-14,-0.21,11.416733466933865,0.700001083658253,0.001619140625,-0.042469970703125,2.6210700337e7,43397.709,4.016889853001689
gamma,"{""shape"":1.0}",8192,9.010913347279288,2.1984364368798723,500,500,1000,500,2,2,0.042,-0.114,0.156,5.771779559118234,6.273551102204409,0.6240360721442888,0.10370462054472382,6.022726726726736,10.797258517034068,0.7113734342998452,0.8963762600351469,10.797258517034065,3.552713678800501e-15,0.156,10.797258517034068,0.7113734342998452,0.0181551513671875,0.031518798828125,1.03278902357e8,100933.487,16.934367007001537
gamma,"{""shape"":2.0}",16,2.772588722239781,1.0197814405382262,5000,5000,10000,5000,2,2,-0.047,-0.0086,-0.0384,1.9799869973994788,1.9161092618523712,0.11941968393678734,0.06131046545871332,1.9482219821982187,3.6572568913782764,0.07786143736768415,0.938614009285461,3.6572568913782755,8.881784197001252e-16,-0.0384,3.6572568913782764,0.07786143736768415,0.01415,-0.0049,320.877,41.3152,6.0580699786078184e-5
gamma,"{""shape"":2.0}",32,3.4657359027997265,1.242924991852436,2000,2000,4000,2000,2,2,0.0535,-0.016,0.0695,2.3988371685842904,2.499993996998498,0.17944572286143082,0.07327625134568323,2.450010940235057,4.539939719859929,0.15192176856979955,0.9265141729171956,4.539939719859926,3.552713678800501e-15,0.0695,4.539939719859929,0.15192176856979955,0.0015859375,-0.0070625,1293.34725,98.68625,0.0005546685016306583
gamma,"{""shape"":2.0}",64,4.1588830833596715,1.4252465486463906,2000,2000,4000,2000,2,2,-0.004,0.0355,-0.0395,3.065516758379188,3.0807801400700345,0.13621010505252623,0.04432279380880193,3.072770130032509,5.873876688344174,0.20187364790252088,0.9557950057725323,5.873876688344169,4.440892098500626e-15,-0.0395,5.873876688344174,0.20187364790252088,0.0019140625,0.011421875,5164.892,232.283,0.0019078292500926183
gamma,"{""shape"":2.0}",128,4.852030263919617,1.5793972284736488,2000,2000,4000,2000,2,2,0.0165,0.0205,-0.004,3.7150852926463243,3.6589092046022964,0.24278314157078545,0.06585038463143487,3.686079269817453,6.8884282141070505,0.2224638636057961,0.9343841667366243,6.88842821410705,8.881784197001252e-16,-0.004,6.8884282141070505,0.2224638636057961,0.00677734375,0.008931640625,21041.58625,552.76925,0.007351960749947466
gamma,"{""shape"":2.0}",256,5.545177444479562,1.7129286210981716,2000,2000,4000,2000,2,2,0.0055,-0.0495,0.055,4.1565480240120065,4.3262128564282145,0.36195322661330664,0.08535561765701266,4.241076269067265,7.758854427213606,0.25990084177339373,0.9147270568798332,7.758854427213608,-1.7763568394002505e-15,0.055,7.758854427213606,0.25990084177339373,0.0035205078125,0.0177890625,83308.20175,1324.26575,0.02916730274888687
