model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,4,1536,768,1600,-0.098125,-0.144375,0.9072056754,0.8632610567,0.9509383746,0.8863594434,0.8254877072,0.9492113821,0.02084623202,-0.0262150172,0.06732043465
gamma,1,4,2048,1024,1000,-0.097,-0.138,0.9061796797,0.8517215215,0.9585740741,0.87053003,0.7972322948,0.9447469344,0.03564964965,-0.02075462963,0.09109617117
gamma,1,4,2560,1280,400,-0.0875,-0.0575,0.9619235589,0.8686484962,1.052821742,1.042155388,0.889406015,1.205641604,-0.08023182957,-0.1827587719,0.01720112782
gamma,1,4,3072,1536,300,-0.1266666667,-0.1733333333,0.9467781494,0.8299574972,1.063772436,0.925328874,0.769960981,1.086755853,0.02144927536,-0.09552006689,0.1397998885
gamma,1,4,4096,2048,150,-0.02666666667,-0.08666666667,1.046196868,0.891856264,1.197697427,0.9545637584,0.7214407159,1.197964206,0.09163310962,-0.08054809843,0.2577237136
gamma,1,4,5120,2560,80,-0.125,-0.025,0.9411392405,0.707590981,1.183150712,0.9443037975,0.5996736551,1.347389241,-0.003164556962,-0.2482634494,0.2199446203
gamma,1,4,6144,3072,40,0,-0.1,0.8923076923,0.608974359,1.162508013,0.6871794872,0.4612179487,0.8971153846,0.2051282051,-0.05322115385,0.4545032051
uniform,1,32,32,2,6000,-0.01333333333,-0.007833333333,0.3358530727,0.3270725815,0.3446880484,0.3396248125,0.3275822012,0.3520087074,-0.003771739734,-0.01218253737,0.004617436239
uniform,1,32,64,4,6000,-0.01633333333,-0.02016666667,0.4168160666,0.4065651942,0.427175233,0.4139783158,0.3998122465,0.4282366853,0.002837750736,-0.007545506195,0.0131953784
uniform,1,32,128,8,6000,-0.004833333333,-0.01533333333,0.4736997138,0.4620520892,0.4852656835,0.4754407818,0.4586523605,0.4918336615,-0.001741067956,-0.01349946727,0.009695164472
uniform,1,32,256,16,6000,-0.008833333333,-0.02283333333,0.5489584653,0.5352281925,0.5620817438,0.5511605268,0.5316129299,0.5704066487,-0.002202061455,-0.01616215411,0.0116443824
uniform,1,32,512,32,5000,-0.0288,-0.0272,0.6199393479,0.603030003,0.6370509737,0.607320184,0.5840361197,0.6308637487,0.01261916383,-0.004518641728,0.03012393479
uniform,1,32,768,48,4000,-0.017,-0.0255,0.6779498625,0.6571151968,0.6984204145,0.6783834709,0.6496340171,0.7090299137,-0.0004336084021,-0.02109355776,0.02036037291
uniform,1,32,1024,64,3000,-0.01666666667,-0.014,0.6853248861,0.6613123722,0.7093138227,0.6782225186,0.6444301934,0.7122110037,0.007102367456,-0.01708509503,0.03065461821
uniform,1,32,1536,96,1600,0.001875,-0.046875,0.7205999844,0.6869621785,0.7545432155,0.7230136023,0.6761668181,0.771556808,-0.002413617886,-0.03681589079,0.03194836617
uniform,1,32,2048,128,1000,-0.053,-0.016,0.7947622623,0.7461780656,0.8441064565,0.7645800801,0.6955106231,0.8331951952,0.03018218218,-0.02039094094,0.07890915916
uniform,1,32,2560,160,400,0.025,0.0675,0.7705858396,0.698730968,0.8412723997,0.7622525063,0.6646466165,0.8614598997,0.008333333333,-0.06359805764,0.08248887845
uniform,1,32,3072,192,300,-0.01,0.03666666667,0.7584726867,0.6755295429,0.83937068,0.8082720178,0.6755613155,0.9442612876,-0.0497993311,-0.141583612,0.03937541806
uniform,1,32,4096,256,150,-0.1133333333,-0.006666666667,0.8391498881,0.6872684564,0.9906963087,0.8063534676,0.6001118568,1.020052013,0.03279642058,-0.09664653244,0.163761745
uniform,1,32,5120,320,80,-0.025,-0.1,0.8680379747,0.6718117089,1.056257911,0.8579113924,0.5752373418,1.160696203,0.01012658228,-0.2025316456,0.2231012658
uniform,1,32,6144,384,40,0.05,0,0.8705128205,0.6192227564,1.088141026,0.8705128205,0.558974359,1.178205128,0,-0.2012820513,0.1980929487
uniform,1,16,32,4,6000,-0.02433333333,-0.02466666667,0.4236369951,0.4132233681,0.4340816021,0.4234038451,0.4080175081,0.4383227288,0.0002331499694,-0.01060033061,0.01131852531
