model,fraction_num,fraction_den,component,order,separation,fit_role,observed,log_fit,log_plus_log2_fit
gamma,1,4,disorder,3072,1536,training,0.02144927536,0.02305588394,0.02725113032
gamma,1,4,disorder,4096,2048,training,0.09163310962,0.02440335388,0.04988483382
gamma,1,4,disorder,5120,2560,heldout,-0.003164556962,0.02544853277,0.07215554867
gamma,1,4,disorder,6144,3072,heldout,0.2051282051,0.0263025061,0.09340967107
uniform,1,32,marginal,512,32,training,0.6199393479,0.6270750248,0.625268828
uniform,1,32,marginal,768,48,training,0.6779498625,0.6651061557,0.6652743907
uniform,1,32,marginal,1024,64,training,0.6853248861,0.6920896725,0.6930797015
uniform,1,32,marginal,1536,96,training,0.7205999844,0.7301208034,0.7314529077
uniform,1,32,marginal,2048,128,training,0.7947622623,0.7571043202,0.7581000432
uniform,1,32,marginal,2560,160,training,0.7705858396,0.7780343619,0.7784381404
uniform,1,32,marginal,3072,192,training,0.7584726867,0.7951354511,0.7948408929
uniform,1,32,marginal,4096,256,training,0.8391498881,0.8221189679,0.8203298531
uniform,1,32,marginal,5120,320,heldout,0.8680379747,0.8430490095,0.8397695998
uniform,1,32,marginal,6144,384,heldout,0.8705128205,0.8601500988,0.8554383464
uniform,1,32,conditional,512,32,training,0.607320184,0.6200364249,0.6131256681
uniform,1,32,conditional,768,48,training,0.6783834709,0.658869252,0.6595129421
uniform,1,32,conditional,1024,64,training,0.6782225186,0.6864215813,0.6902095679
uniform,1,32,conditional,1536,96,training,0.7230136023,0.7252544084,0.7303512222
uniform,1,32,conditional,2048,128,training,0.7645800801,0.7528067376,0.7566165103
uniform,1,32,conditional,2560,160,training,0.7622525063,0.7741779846,0.7757228968
uniform,1,32,conditional,3072,192,training,0.8082720178,0.7916395647,0.7905125448
uniform,1,32,conditional,4096,256,training,0.8063534676,0.819191894,0.8123464952
uniform,1,32,conditional,5120,320,heldout,0.8579113924,0.8405631409,0.8280156692
uniform,1,32,conditional,6144,384,heldout,0.8705128205,0.8580247211,0.83999691
uniform,1,32,disorder,512,32,training,0.01261916383,0.007038599901,0.0121431599
uniform,1,32,disorder,768,48,training,-0.0004336084021,0.006236903719,0.005761448592
uniform,1,32,disorder,1024,64,training,0.007102367456,0.005668091226,0.002870133552
uniform,1,32,disorder,1536,96,training,-0.002413617886,0.004866395045,0.001101685518
uniform,1,32,disorder,2048,128,training,0.03018218218,0.004297582551,0.001483532861
uniform,1,32,disorder,2560,160,training,0.008333333333,0.003856377305,0.002715243638
uniform,1,32,disorder,3072,192,training,-0.0497993311,0.00349588637,0.004328348103
uniform,1,32,disorder,4096,256,training,0.03279642058,0.002927073877,0.00798335783
uniform,1,32,disorder,5120,320,heldout,0.01012658228,0.00248586863,0.01175393059
uniform,1,32,disorder,6144,384,heldout,0,0.002125377695,0.01544143635
uniform,1,16,marginal,512,64,training,0.6999331866,0.6841257538,0.6972218653
uniform,1,16,marginal,768,96,training,0.7172112716,0.7301122618,0.7288924479
uniform,1,16,marginal,1024,128,training,0.7661840058,0.7627402084,0.7555618491
uniform,1,16,marginal,1536,192,training,0.8032422608,0.8087267164,0.7990680865
uniform,1,16,marginal,2048,256,training,0.8347882883,0.841354663,0.8341350185
uniform,1,16,marginal,2560,320,training,0.8381390977,0.8666628646,0.8637352051
uniform,1,16,marginal,3072,384,training,0.9126755853,0.8873411709,0.8894769107
uniform,1,16,marginal,4096,512,training,0.9288590604,0.9199691176,0.9329413734
uniform,1,16,marginal,5120,640,heldout,0.9477848101,0.9452773192,0.9690551909
uniform,1,16,marginal,6144,768,heldout,1.325,0.9659556255,1.00011892
uniform,1,16,conditional,512,64,training,0.6792013603,0.6997320999,0.6724555851
uniform,1,16,conditional,768,96,training,0.7245366029,0.7341499077,0.73669053
uniform,1,16,conditional,1024,128,training,0.773317717,0.758569731,0.7735207815
uniform,1,16,conditional,1536,192,training,0.8196873046,0.7929875389,0.8131044843
uniform,1,16,conditional,2048,256,training,0.8247122122,0.8174073622,0.8324444012
uniform,1,16,conditional,2560,320,training,0.8550250627,0.8363488487,0.8424465631
uniform,1,16,conditional,3072,384,training,0.8459531773,0.85182517,0.8473768621
uniform,1,16,conditional,4096,512,training,0.8448322148,0.8762449933,0.8492264444
uniform,1,16,conditional,5120,640,heldout,0.860443038,0.8951864798,0.8456620488
uniform,1,16,conditional,6144,768,heldout,1.296153846,0.9106628011,0.8395076632
uniform,1,16,disorder,512,64,training,0.02073182637,-0.01560634605,0.02476628027
uniform,1,16,disorder,768,96,training,-0.007325331333,-0.004037645952,-0.00779808215
uniform,1,16,disorder,1024,128,training,-0.007133711237,0.004170477393,-0.01795893232
uniform,1,16,disorder,1536,192,training,-0.01644504378,0.01573917749,-0.01403639786
uniform,1,16,disorder,2048,256,training,0.01007607608,0.02394730083,0.001690617284
uniform,1,16,disorder,2560,320,training,-0.01688596491,0.03031401593,0.02128864193
uniform,1,16,disorder,3072,384,training,0.06672240803,0.03551600093,0.04210004862
uniform,1,16,disorder,4096,512,training,0.08402684564,0.04372412427,0.08371492908
uniform,1,16,disorder,5120,640,heldout,0.08734177215,0.05009083937,0.1233931421
uniform,1,16,disorder,6144,768,heldout,0.02884615385,0.05529282437,0.1606112573
uniform,1,8,marginal,512,128,training,0.7302215243,0.7471260656,0.7354817369
uniform,1,8,marginal,768,192,training,0.7880146912,0.7866533484,0.7877379386
uniform,1,8,marginal,1024,256,training,0.825015783,0.8146984018,0.8210809968
uniform,1,8,marginal,1536,384,training,0.8909126798,0.8542256846,0.8628135972
uniform,1,8,marginal,2048,512,training,0.8756131131,0.882270738,0.8886900414
uniform,1,8,marginal,2560,640,training,0.8778696742,0.9040241714,0.9066272823
uniform,1,8,marginal,3072,768,training,0.920039019,0.9217980207,0.9198990406
uniform,1,8,marginal,4096,1024,training,0.9529530201,0.9498430742,0.9383088709
uniform,1,8,marginal,5120,1280,heldout,1.003718354,0.9715965076,0.9504545561
uniform,1,8,marginal,6144,1536,heldout,0.9650641026,0.9893703569,0.9589942689
uniform,1,8,conditional,512,128,training,0.7275319864,0.7545798859,0.7183037525
uniform,1,8,conditional,768,192,training,0.8015802701,0.7880523675,0.7914312431
uniform,1,8,conditional,1024,256,training,0.7869580971,0.8118014711,0.831685474
uniform,1,8,conditional,1536,384,training,0.8771974672,0.8452739526,0.872028287
uniform,1,8,conditional,2048,512,training,0.8993868869,0.8690230563,0.8890214189
uniform,1,8,conditional,2560,640,training,0.9393984962,0.8874442922,0.8955538877
uniform,1,8,conditional,3072,768,training,0.8721237458,0.9024955378,0.8965795543
uniform,1,8,conditional,4096,1024,training,0.880738255,0.9262446414,0.8903115873
uniform,1,8,conditional,5120,1280,heldout,1.058148734,0.9446658773,0.878801346
uniform,1,8,conditional,6144,1536,heldout,0.8945512821,0.959717123,0.8650850451
uniform,1,8,disorder,512,128,training,0.002689537908,-0.007453820271,0.01717798439
uniform,1,8,disorder,768,192,training,-0.01356557889,-0.001399019082,-0.00369330455
uniform,1,8,disorder,1024,256,training,0.0380576859,0.002896930729,-0.01060447721
uniform,1,8,disorder,1536,384,training,0.01371521263,0.008951731918,-0.009214689806
uniform,1,8,disorder,2048,512,training,-0.02377377377,0.01324768173,-0.0003313774414
uniform,1,8,disorder,2560,640,training,-0.06152882206,0.01657987928,0.01107339457
uniform,1,8,disorder,3072,768,training,0.04791527313,0.01930248292,0.0233194863
uniform,1,8,disorder,4096,1024,training,0.0722147651,0.02359843273,0.04799728369
uniform,1,8,disorder,5120,1280,heldout,-0.05443037975,0.02693063028,0.07165321007
uniform,1,8,disorder,6144,1536,heldout,0.07051282051,0.02965323392,0.09390922377
uniform,1,4,marginal,512,256,training,0.8127444689,0.8198193187,0.7917861597
uniform,1,4,marginal,768,384,training,0.8346621655,0.8554952314,0.85810633
uniform,1,4,marginal,1024,512,training,0.8829887185,0.8808076944,0.8961734835
uniform,1,4,marginal,1536,768,training,0.9248182458,0.9164836071,0.937158592
uniform,1,4,marginal,2048,1024,training,0.977515015,0.94179607,0.957250233
uniform,1,4,marginal,2560,1280,training,0.9571021303,0.9614299416,0.9676968052
uniform,1,4,marginal,3072,1536,training,1.031917503,0.9774719827,0.9729002798
uniform,1,4,marginal,4096,2048,training,0.9343400447,1.002784446,0.9750164084
uniform,1,4,marginal,5120,2560,heldout,1.150316456,1.022418317,0.97152009
uniform,1,4,marginal,6144,3072,heldout,0.8689102564,1.038460358,0.9653313933
uniform,1,4,conditional,512,256,training,0.80969986,0.8150169861,0.7975426105
uniform,1,4,conditional,768,384,training,0.8430982746,0.8507794501,0.8524070696
uniform,1,4,conditional,1024,512,training,0.8742646993,0.876153322,0.8857315351
uniform,1,4,conditional,1536,768,training,0.9003627267,0.9119157859,0.9248034684
