model,fraction_num,fraction_den,component,order,separation,observed,log_fit,log_plus_log2_fit
uniform,1,8,marginal,128,16,7.878380062,7.744928661,7.923173929
uniform,1,8,marginal,192,24,8.547190031,8.501014082,8.505903353
uniform,1,8,marginal,256,32,8.878725412,9.037465226,8.962474521
uniform,1,8,marginal,384,48,9.885466398,9.793550647,9.666746936
uniform,1,8,marginal,512,64,10.51209672,10.33000179,10.20955423
uniform,1,8,marginal,700,88,10.03771485,10.92383396,10.85216096
uniform,1,8,marginal,900,112,11.50829659,11.37353755,11.36798341
uniform,1,8,marginal,1100,138,12.20212819,11.76281018,11.83479894
uniform,1,8,marginal,1300,162,12.07895075,12.06180691,12.20615273
uniform,1,8,conditional,128,16,8.071120605,8.032423616,8.250059559
uniform,1,8,conditional,192,24,9.060557187,8.694352535,8.700322293
uniform,1,8,conditional,256,32,8.770890966,9.163998577,9.07243557
uniform,1,8,conditional,384,48,10.18032002,9.825927496,9.671101253
uniform,1,8,conditional,512,64,9.969723835,10.29557354,10.1485081
uniform,1,8,conditional,700,88,10.38956119,10.81545485,10.72794274
uniform,1,8,conditional,900,112,10.81878958,11.20915615,11.2023746
uniform,1,8,conditional,1100,138,12.32471171,11.54995206,11.63784971
uniform,1,8,conditional,1300,162,11.812878,11.81171425,11.98795926
uniform,1,8,disorder,128,16,-0.1927405429,-0.287494955,-0.32688563
uniform,1,8,disorder,192,24,-0.5133671562,-0.1933384529,-0.1944189398
uniform,1,8,disorder,256,32,0.1078344459,-0.1265333514,-0.1099610491
uniform,1,8,disorder,384,48,-0.294853621,-0.03237684928,-0.004354317037
uniform,1,8,disorder,512,64,0.5423728814,0.03442825215,0.06104613003
uniform,1,8,disorder,700,88,-0.3518463322,0.1083791022,0.1242182189
uniform,1,8,disorder,900,112,0.689507014,0.1643813951,0.1656088121
uniform,1,8,disorder,1100,138,-0.1225835189,0.2128581263,0.1969492297
uniform,1,8,disorder,1300,162,0.2660727543,0.2500926572,0.2181934696
uniform,1,4,marginal,128,32,8.907948376,9.166658957,8.929973482
uniform,1,4,marginal,192,48,9.915101024,9.797019116,9.790281674
uniform,1,4,marginal,256,64,10.0788607,10.24426677,10.34351808
uniform,1,4,marginal,384,96,11.2394453,10.87462693,11.04269572
uniform,1,4,marginal,512,128,11.52138438,11.32187458,11.48160818
uniform,1,4,marginal,700,175,12.29249876,11.8081032,11.90494293
uniform,1,4,marginal,900,225,11.26640481,12.19881155,12.2044762
uniform,1,4,marginal,1100,275,12.83919822,12.51078614,12.41764867
uniform,1,4,marginal,1300,325,12.63180401,12.77049835,12.57750064
