distribution,distribution_params,variance_kind,L_left,L_right,L_mid_geometric,p_local
gamma,"{""shape"":1.0}",annealed,4096,8192,5792.618751480198,0.2358214965344915
gamma,"{""shape"":2.0}",annealed,16,32,22.627416997969522,0.8846041860425374
gamma,"{""shape"":2.0}",annealed,32,64,45.254833995939045,1.3661332114431914
gamma,"{""shape"":2.0}",annealed,64,128,90.50966799187809,1.5061321484428425
gamma,"{""shape"":2.0}",annealed,128,256,181.01933598375618,0.6831959696372698
gamma,"{""shape"":2.0}",annealed,256,512,362.03867196751236,0.9393335253616798
gamma,"{""shape"":2.0}",annealed,512,1024,724.0773439350247,1.2906956783651828
gamma,"{""shape"":2.0}",annealed,1024,2048,1448.1546878700494,1.646183341652463
gamma,"{""shape"":2.0}",annealed,2048,4096,2896.309375740099,1.0827113494663894
inverse_gamma,"{""alpha"":2.2}",annealed,16,32,22.627416997969522,0.9785405793535364
inverse_gamma,"{""alpha"":2.2}",annealed,32,64,45.254833995939045,1.4683696238995214
inverse_gamma,"{""alpha"":2.2}",annealed,64,128,90.50966799187809,0.565867956736065
inverse_gamma,"{""alpha"":2.2}",annealed,128,256,181.01933598375618,1.1583278245175366
inverse_gamma,"{""alpha"":2.2}",annealed,256,512,362.03867196751236,1.4087734949593602
inverse_gamma,"{""alpha"":2.2}",annealed,512,1024,724.0773439350247,0.7960405165075864
inverse_gamma,"{""alpha"":2.2}",annealed,1024,2048,1448.1546878700494,0.2970726290748235
inverse_gamma,"{""alpha"":2.2}",annealed,2048,4096,2896.309375740099,1.5409948730205205
lognormal,"{""sigma"":0.5}",annealed,16,32,22.627416997969522,1.1175957565348067
lognormal,"{""sigma"":0.5}",annealed,32,64,45.254833995939045,1.3355098779516328
lognormal,"{""sigma"":0.5}",annealed,64,128,90.50966799187809,1.2584080835126699
lognormal,"{""sigma"":0.5}",annealed,128,256,181.01933598375618,0.5463667935389449
lognormal,"{""sigma"":0.5}",annealed,256,512,362.03867196751236,1.2050841725416372
lognormal,"{""sigma"":0.5}",annealed,512,1024,724.0773439350247,1.6572792876488505
lognormal,"{""sigma"":0.5}",annealed,1024,2048,1448.1546878700494,-0.31917184824307
lognormal,"{""sigma"":0.5}",annealed,2048,4096,2896.309375740099,1.8351933735049455
lognormal,"{""sigma"":1.0}",annealed,16,32,22.627416997969522,1.3727630499335022
lognormal,"{""sigma"":1.0}",annealed,32,64,45.254833995939045,1.2878771143914818
