distribution,distribution_params,L,log_L,log_log_L,observations,environments,walks_per_environment_min,walks_per_environment_max,mean_winding,annealed_variance,annealed_variance_se,quenched_variance,quenched_variance_se,environment_mean_variance,mean_exit_x_over_L,mean_exit_y_over_L,mean_raw_walk_length,mean_loop_erased_path_length,mean_runtime
beta,"{""a"":0.5}",128,4.852030263919617,1.5793972284736488,2000,2000,1,1,0.067,3.4042131065532764,0.10877487561767787,NaN,NaN,3.404213106553277,-0.00476953125,-0.0047890625,23211.5935,559.2095,0.005256283500377322
beta,"{""a"":0.5}",256,5.545177444479562,1.7129286210981716,2000,2000,1,1,-0.003,4.1790805402701325,0.13494148536947106,NaN,NaN,4.1790805402701325,-0.013212890625,0.00695703125,94881.7495,1343.9495,0.021538244500261497
beta,"{""a"":0.5}",512,6.238324625039508,1.830711656754555,2000,2000,1,1,0.1075,5.069478489244621,0.15892676531250954,NaN,NaN,5.069478489244621,-0.004234375,-0.0442900390625,374931.4005,3210.5255,0.07820129300042754
beta,"{""a"":0.5}",1024,6.931471805599453,1.9360721724123813,2000,2000,1,1,-0.003,5.181581790895444,0.1630721130581538,NaN,NaN,5.181581790895444,-0.0182880859375,-0.046154296875,1.524322517e6,7577.36,0.2660770360007591
beta,"{""a"":0.5}",2048,7.6246189861593985,2.0313823522167063,500,500,1,1,-0.158,5.65634869739479,0.35187404533228767,NaN,NaN,5.65634869739479,-0.0181767578125,0.0072451171875,5.955896876e6,17804.296,0.889096295999363
beta,"{""a"":0.5}",4096,8.317766166719343,2.118393729206336,500,500,1,1,-0.128,6.01965531062124,0.38145537934378376,NaN,NaN,6.019655310621239,0.00396435546875,0.003083984375,2.5921701406e7,43618.722,3.2648894200015346
exponential,{},16,2.772588722239781,1.0197814405382262,5000,5000,1,1,0.018,1.8848529705941202,0.04081513801033595,NaN,NaN,1.8848529705941197,-0.00425,0.0071125,349.4894,40.9574,4.873760028276592e-5
exponential,{},32,3.4657359027997265,1.242924991852436,2000,2000,1,1,0.001,2.582290145072535,0.08799764374095048,NaN,NaN,2.582290145072535,0.00509375,0.026140625,1403.9235,99.3275,0.00017262450081761927
exponential,{},64,4.1588830833596715,1.4252465486463906,2000,2000,1,1,-0.035,3.09232116058029,0.10423885273137502,NaN,NaN,3.09232116058029,-0.00634375,-0.0106328125,5893.6825,236.8385,0.0007176279994600918
exponential,{},128,4.852030263919617,1.5793972284736488,2000,2000,1,1,-0.015,3.642596298149074,0.11783276257651734,NaN,NaN,3.6425962981490745,0.01340625,-0.00755078125,24206.2475,567.1645,0.003984991500386968
exponential,{},256,5.545177444479562,1.7129286210981716,2000,2000,1,1,-0.025,4.540645322661331,0.14400290569139154,NaN,NaN,4.540645322661331,-0.003544921875,0.01273046875,98704.9985,1348.5135,0.018562196000450056
exponential,{},512,6.238324625039508,1.830711656754555,2000,2000,1,1,-0.0995,4.8320157578789384,0.15757139206887225,NaN,NaN,4.8320157578789384,-0.008099609375,-0.02966015625,386785.903,3198.847,0.07641312950072461
exponential,{},1024,6.931471805599453,1.9360721724123813,2000,2000,1,1,-0.073,5.38936568284142,0.17312524374237098,NaN,NaN,5.38936568284142,0.011654296875,0.02005029296875,1.5845895215e6,7595.4715,0.21333335349915433
exponential,{},2048,7.6246189861593985,2.0313823522167063,500,500,1,1,-0.038,6.092741482965933,0.4043363779464108,NaN,NaN,6.092741482965934,-0.0240302734375,0.0202919921875,6.077269144e6,17983.832,0.9519710159989773
exponential,{},4096,8.317766166719343,2.118393729206336,500,500,1,1,0.018,6.975627254509015,0.4776474215952239,NaN,NaN,6.975627254509013,-0.031017578125,-0.0056884765625,2.624194408e7,43253.812,4.919640392003348
gamma,"{""shape"":0.5}",16,2.772588722239781,1.0197814405382262,5000,5000,1,1,0.0218,1.9301107821564307,0.04168178114585313,NaN,NaN,1.9301107821564307,-0.0069875,0.00215,479.1946,41.6606,7.076379951322452e-5
