campaign_id,L,environment_id,environment_seed,conditional_mean,conditional_variance,conditional_second_moment,log_partition,partition_phase_real,partition_phase_imaginary,matrix_order,precision_bits,crossed_edges,relative_solve_residual,maximum_probability_imaginary_residual,maximum_covariance_imaginary_residual,elapsed_seconds
glauber_square_grid_kasteleyn__gamma__p_0p5,8,109,231201070060089200,0.213495058608566,0.8974026036664243,0.9429827437166993,23.82542616449589,1.0,0.0,128,53,8,8.091795521859489e-16,0.0,0.0,0.000284833
glauber_square_grid_kasteleyn__gamma__p_0p5,8,110,11306310384277311317,-2.2390713931822774,3.9451969067522836,8.958637610519508,13.201270318494677,1.0,0.0,128,53,8,1.94320132597583e-14,0.0,0.0,0.000282709
glauber_square_grid_kasteleyn__gamma__p_0p5,8,111,7976630461022959021,-3.911364276533089,0.34674160612979454,15.645512109869012,22.03132211089491,1.0,0.0,128,53,8,1.9366903767009465e-15,0.0,0.0,0.000283625
glauber_square_grid_kasteleyn__gamma__p_0p5,8,112,1880054855122592869,0.35981551070702744,1.3233499773217612,1.4528171790671203,17.224696387139158,1.0,-0.0,128,53,8,2.801650907822044e-15,0.0,0.0,0.000282834
glauber_square_grid_kasteleyn__gamma__p_0p5,8,113,12011538815588149289,-3.9737949621790123,0.10421070254922596,15.895257103988524,37.89490646867564,1.0,0.0,128,53,8,1.8694104839840087e-15,0.0,0.0,0.000288333
glauber_square_grid_kasteleyn__gamma__p_0p5,8,114,9281213631168543452,-0.9670384703519608,3.034171224871913,3.969334628012573,13.913430386325333,1.0,-0.0,128,53,8,1.840489837463444e-14,0.0,0.0,0.000283292
glauber_square_grid_kasteleyn__gamma__p_0p5,8,115,13453320608781063117,-2.213808941449409,3.9573820123657097,8.858332041607062,11.615073925934801,1.0,0.0,128,53,8,1.174428473187315e-15,0.0,0.0,0.00028425
glauber_square_grid_kasteleyn__gamma__p_0p5,8,116,17415696464677618913,-1.4013120885547488,3.976323393656875,5.939998963186547,33.876374034876605,1.0,0.0,128,53,8,1.0684702303553767e-15,0.0,0.0,0.000284083
glauber_square_grid_kasteleyn__gamma__p_0p5,8,117,7743754689576688287,0.002073250451099469,0.013944285549272312,0.013948583916705297,11.205815019539365,1.0,-0.0,128,53,8,2.170773382513683e-15,0.0,0.0,0.000286625
glauber_square_grid_kasteleyn__gamma__p_0p5,8,118,16726962702004074655,3.672439565324665,1.2363251884112443,14.72313754937326,21.42647283525604,1.0,-0.0,128,53,8,2.5011203641700874e-15,0.0,0.0,0.000282583
glauber_square_grid_kasteleyn__gamma__p_0p5,8,119,10387052432408937807,-0.0558688520638162,0.22411463436096987,0.22723596299189844,21.534525177054217,1.0,0.0,128,53,8,2.695230880367583e-14,0.0,0.0,0.000290875
glauber_square_grid_kasteleyn__gamma__p_0p5,8,120,485499945011723302,-0.0221235904172139,0.11654475282621188,0.11703420607916051,-2.3014946896479516,1.0,-0.0,128,53,8,3.2316990112202655e-16,0.0,0.0,0.000284916
glauber_square_grid_kasteleyn__gamma__p_0p5,8,121,1601582257949053360,-1.3666473187725254,3.599582304054827,5.46730719796296,22.5233265373738,1.0,-0.0,128,53,8,2.5936259059545898e-15,0.0,0.0,0.000287959
glauber_square_grid_kasteleyn__gamma__p_0p5,8,122,13239264072508456948,0.09008118870544823,2.5304137274851293,2.538528348043716,8.353824293196388,1.0,0.0,128,53,8,1.323212651688716e-15,0.0,0.0,0.000288042
glauber_square_grid_kasteleyn__gamma__p_0p5,8,123,8025568083426296996,0.6862321487599266,2.854638832040842,3.325553394032508,18.128279792744692,1.0,-0.0,128,53,8,2.4371850271468478e-14,0.0,0.0,0.000297333
glauber_square_grid_kasteleyn__gamma__p_0p5,8,124,8622112504409099422,-0.010796621714483791,0.18074389005149485,0.1808604570919405,14.534042788466763,1.0,-0.0,128,53,8,5.700114332842873e-16,0.0,0.0,0.000303125
