L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
32,gamma4,1.0,76,6441368652865918921,3023,101,-1,9,-32,764
32,gamma4,1.0,77,3013162238727666448,3918,108,-2,14,-32,560
32,gamma4,1.0,78,4904934113787802948,2252,80,-2,-32,4,509
32,gamma4,1.0,79,1464551998275044986,766,134,1,-4,32,290
32,gamma4,1.0,80,5241481416464800325,1428,96,0,32,-22,421
32,gamma4,1.0,81,1547318355183206805,927,119,0,23,32,354
32,gamma4,1.0,82,2820986382334946328,1604,118,-1,-32,14,404
32,gamma4,1.0,83,8671888554075017623,598,76,-2,0,32,227
32,gamma4,1.0,84,2866741457375821203,1409,101,2,-21,-32,359
32,gamma4,1.0,85,8208238706687736033,2026,108,2,-32,4,519
32,gamma4,1.0,86,7006313843717665250,673,93,-1,-32,-11,240
32,gamma4,1.0,87,7213648821553981164,344,72,0,-10,-32,130
32,gamma4,1.0,88,2216638916419011628,516,84,0,32,-10,192
32,gamma4,1.0,89,5197599455536658817,2028,120,2,-6,32,587
32,gamma4,1.0,90,5975012997361071057,2819,113,0,11,32,660
32,gamma4,1.0,91,6731892815331851989,1456,146,-3,-32,-18,460
32,gamma4,1.0,92,1546455996524583035,2970,80,0,-32,-10,505
32,gamma4,1.0,93,5237930187877245663,439,71,-1,5,-32,174
32,gamma4,1.0,94,8445945992904069756,1474,64,0,-32,2,408
32,gamma4,1.0,95,3973104221539852113,449,101,-1,-32,27,179
32,gamma4,1.0,96,7718942728739255276,605,87,0,32,-1,199
32,gamma4,1.0,97,945219178999451034,420,72,0,-32,-2,133
32,gamma4,1.0,98,4700288991520647289,907,121,0,-32,-1,330
32,gamma4,1.0,99,283392974427518195,3075,111,-2,-25,32,737
64,gamma4,1.0,0,3451965734756988325,2164,210,-1,-64,46,606
64,gamma4,1.0,1,1393674251716667880,7842,174,-1,-64,24,1818
64,gamma4,1.0,2,487668395462743303,9281,425,-5,-13,-64,2306
64,gamma4,1.0,3,9188722238893889124,4674,206,-4,64,18,1080
64,gamma4,1.0,4,417552647082923162,1681,183,2,-1,-64,462
