L,model,k,sample_index,seed,raw_steps,lerw_steps,winding,hit_x,hit_y,environment_sites
32,gamma,1.0,21,278597713645811726,709,87,0,13,32,246
32,gamma,1.0,22,8271928124954588442,353,69,-1,32,29,164
32,gamma,1.0,23,3457463291021811518,695,75,1,32,13,286
32,gamma,1.0,24,4407934996608559034,448,120,1,30,32,201
32,gamma,1.0,25,5990975298365624194,439,75,1,13,32,181
32,gamma,1.0,26,3737050061625088897,464,86,-1,-14,32,206
32,gamma,1.0,27,8208074536216238723,293,95,-1,32,7,146
32,gamma,1.0,28,2804698490252394415,447,69,1,32,1,189
32,gamma,1.0,29,8687103668141425727,656,88,0,10,32,243
32,gamma,1.0,30,4733086473086215343,240,64,1,32,10,117
32,gamma,1.0,31,2421854140972401230,752,96,1,16,32,281
32,gamma,1.0,32,6261409594530970076,206,64,0,2,32,101
32,gamma,1.0,33,3389899704783482054,457,75,1,32,19,170
32,gamma,1.0,34,6578591085672044843,713,83,-2,-1,32,257
32,gamma,1.0,35,2239155948659463108,593,75,2,32,19,225
32,gamma,1.0,36,1594194591908109569,284,56,0,32,8,112
32,gamma,1.0,37,4909890921723123934,306,72,-2,10,32,134
32,gamma,1.0,38,3786246965937233769,518,74,-1,26,32,214
32,gamma,1.0,39,2878265595304706896,341,101,1,32,9,164
32,gamma,1.0,40,7347222428669583731,341,67,-1,32,19,124
32,gamma,1.0,41,4118756639805022457,346,78,0,0,32,137
32,gamma,1.0,42,8542654940017843484,214,68,-1,32,16,99
32,gamma,1.0,43,6580217907322027862,362,88,0,22,32,169
32,gamma,1.0,44,2088785886124736474,405,91,0,32,19,185
32,gamma,1.0,45,3623336096033032016,314,76,1,32,4,137
32,gamma,1.0,46,4244166942800495413,448,80,-2,32,24,174
32,gamma,1.0,47,2074316381693007123,398,102,2,18,32,204
32,gamma,1.0,48,6819542338092173716,536,94,-1,32,10,204
32,gamma,1.0,49,3923695429295826440,374,70,1,32,-6,173
32,gamma,1.0,50,2265674566085271995,309,59,0,32,-7,124
32,gamma,1.0,51,902435848760484625,467,95,-2,32,17,197
32,gamma,1.0,52,1289754945446334212,801,83,-2,3,32,228
32,gamma,1.0,53,2498150083592315505,1387,195,-3,32,9,501
32,gamma,1.0,54,505486457123193150,384,84,0,24,32,139
32,gamma,1.0,55,8219216598520486374,374,100,-2,26,32,173
32,gamma,1.0,56,8688299056569141345,417,95,0,27,32,190
32,gamma,1.0,57,8162932471610391602,1126,102,0,32,12,356
32,gamma,1.0,58,6392854552301032547,589,157,0,13,32,283
32,gamma,1.0,59,5813681673994526396,1193,95,2,9,32,353
