model,filter,L,environments,component,estimate,bootstrap_low,bootstrap_high
gamma,start_gap_le_4.0,4,192,disorder,1.1771474520069807,0.7995522968940882,1.5910553000954406
gamma,start_gap_le_4.0,4,192,total,2.359720373884586,1.8584642213470464,2.8973166944956215
gamma,start_gap_le_4.0,6,192,conditional,1.3501559008671,1.162157813021094,1.5526587538560943
gamma,start_gap_le_4.0,6,192,disorder,1.587931644633508,1.1203370291339443,2.0891226679619326
gamma,start_gap_le_4.0,6,192,total,2.938087545500608,2.369770308098181,3.5281010402280844
gamma,start_gap_le_4.0,8,191,conditional,1.7065979377123113,1.4984680389933185,1.9177233758240373
gamma,start_gap_le_4.0,8,191,disorder,1.894712322072196,1.3687413052328465,2.4593827256434273
gamma,start_gap_le_4.0,8,191,total,3.6013102597845075,2.9942852370106294,4.240650358626507
gamma,start_gap_le_4.0,10,126,conditional,1.7928668461214732,1.5518398512748433,2.047376658170355
gamma,start_gap_le_4.0,10,126,disorder,2.324303628698413,1.6346164599809527,3.0548665909333343
gamma,start_gap_le_4.0,10,126,total,4.117170474819886,3.3161431109204735,4.938999316828313
gamma,start_gap_le_4.0,12,95,conditional,1.8471211395171274,1.5235207846028278,2.1768172570495774
gamma,start_gap_le_4.0,12,95,disorder,2.685552382978723,1.8149244378947367,3.575811770492721
gamma,start_gap_le_4.0,12,95,total,4.53267352249585,3.5194901250935486,5.525835437318497
gamma,start_gap_le_4.0,16,60,conditional,2.2140737035184257,1.7612117000166747,2.6885197907286966
gamma,start_gap_le_4.0,16,60,disorder,1.9470742429378534,1.108969781920904,2.8424992698870057
gamma,start_gap_le_4.0,16,60,total,4.161147946456279,3.0850190421371564,5.246645453295401
gamma,start_gap_le_4.0,20,29,conditional,2.1539754014938506,1.518104183126046,2.8497870573217647
gamma,start_gap_le_4.0,20,29,disorder,2.9377710689655165,1.3046434451970448,4.62017863460591
gamma,start_gap_le_4.0,20,29,total,5.091746470459367,3.3123022952248293,6.934295803919076
control,all,4,64,conditional,1.7003761255627814,1.6777137474987491,1.7236921992246124
control,all,4,64,disorder,4.5714285714285796e-6,-0.0001806843253968254,0.000182352628968254
control,all,4,64,total,1.7003806969913529,1.6778583581303919,1.723640861248854
control,all,6,64,conditional,2.2269577601300656,2.2001614994997496,2.253866416802152
control,all,6,64,disorder,-0.00037333928571428566,-0.0006844909722222222,-6.025260416666674e-5
control,all,6,64,total,2.2265844208443513,2.1997178513865316,2.2535259145869193
control,all,8,64,conditional,2.5665716920960473,2.5423837707916457,2.5917202061968485
control,all,8,64,disorder,6.531746031746066e-6,-0.00045001143353174604,0.0004927711309523806
control,all,8,64,total,2.566578223842079,2.5423821888100298,2.5916235155166003
control,all,10,64,conditional,2.8622585980490247,2.8356653170335178,2.8903363189407205
control,all,10,64,disorder,-0.000323313492063492,-0.0010883568452380954,0.0002699558531746029
control,all,10,64,total,2.8619352845569614,2.835055114385319,2.8902231695963065
control,all,12,64,conditional,3.0983810030015,3.067598306184342,3.1294950186030523
control,all,12,64,disorder,0.00041966567460317476,-0.00020103060515873014,0.0010905268105158728
control,all,12,64,total,3.0988006686761036,3.0680310124870473,3.129835825354827
control,all,16,32,conditional,3.359704664832417,3.31224813187844,3.4073639726113063
control,all,16,32,disorder,-0.0013057741935483872,-0.0026055064516129034,-5.10181451612991e-6
control,all,16,32,total,3.3583988906388687,3.3110267806790503,3.405865022415846
control,start_gap_le_4.0,4,64,conditional,1.7003761255627814,1.6785427737306153,1.723322784048274
control,start_gap_le_4.0,4,64,disorder,4.5714285714285796e-6,-0.0001811973214285714,0.00017783244047619033
control,start_gap_le_4.0,4,64,total,1.7003806969913529,1.6785932881154866,1.7233854287359702
control,start_gap_le_4.0,6,63,conditional,2.228092871832742,2.200532542461707,2.2548227137378216
control,start_gap_le_4.0,6,63,disorder,-0.0003082918586789554,-0.0005843659242191503,-2.3200768049155672e-5
control,start_gap_le_4.0,6,63,total,2.227784579974063,2.20020516936415,2.2544680288414947
control,start_gap_le_4.0,8,64,conditional,2.5665716920960473,2.542234234304652,2.5915775590920447
control,start_gap_le_4.0,8,64,disorder,6.531746031746066e-6,-0.0004441093005952381,0.0004733756944444444
control,start_gap_le_4.0,8,64,total,2.566578223842079,2.542223036504574,2.591544941956469
control,start_gap_le_4.0,10,63,conditional,2.8655534116264483,2.837682038638367,2.892148056567967
control,start_gap_le_4.0,10,63,disorder,-2.466666666666664e-5,-0.0003984488223246286,0.00035044470046082936
control,start_gap_le_4.0,10,63,total,2.8655287449597817,2.837593273707976,2.892059300334128
control,start_gap_le_4.0,12,64,conditional,3.0983810030015,3.0681638452038515,3.1287856670522762
control,start_gap_le_4.0,12,64,disorder,0.00041966567460317476,-0.00021262083333333334,0.0010703159226190476
control,start_gap_le_4.0,12,64,total,3.0988006686761036,3.068400311309685,3.129033141405389
control,start_gap_le_4.0,16,32,conditional,3.359704664832417,3.3096269056403202,3.4068719719234624
control,start_gap_le_4.0,16,32,disorder,-0.0013057741935483872,-0.0025985880040322582,1.694546370967672e-5
control,start_gap_le_4.0,16,32,total,3.3583988906388687,3.3086049545703298,3.4055491387297985
