model,filter,cutoff,sizes,component,method,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_loocv_rmse,quadratic_loocv_rmse
control,all,6,6;8;10;12;16,total,unweighted,0.1296380897896857,1.1778300681302123,-0.8650402931978213,2.069641201712473,-0.19556058842847085,-0.34172622785741097,-0.04668711696874242,0.004,2.32749961659659,-1.2056315330744583,8.787476246042008,0.8504,0.05486045795506175,0.09478987661380109
control,all,6,6;8;10;12;16,total,inverse_bootstrap_variance,0.05984921704552618,1.211040947856778,-0.595051894044436,1.8122493546968534,-0.13556243294591416,-0.27294144090136147,0.0034131336628344558,0.0292,0.26298062646007736,-1.592936234476733,6.706223931386506,0.5112,0.04889292265139468,0.09315027066985694
control,all,8,8;10;12;16,conditional,unweighted,0.20711362793956697,1.147200186745004,-2.7175762286637677,3.580222751680919,-0.5004437533916013,-0.7994930859548904,-0.20205829057983749,0.0002,9.457362155543315,1.5015665316812987,32.30647069723837,0.9942,0.07681229016991327,0.06283724266856153
control,all,8,8;10;12;16,conditional,inverse_bootstrap_variance,0.08396696260755174,1.201115333231485,-2.5542170358359515,3.4406095796683007,-0.47087058512673474,-0.7647486638066902,-0.17736538783484387,0.0006,8.20660697091187,0.3673962182166618,31.463482495848222,0.983,0.07247060055285336,0.06283724266856386
control,all,8,8;10;12;16,disorder,unweighted,0.00352682802434617,-0.001588274019367098,-0.033346036907196314,0.029085922839395578,-0.006309316826527827,-0.013496915185447076,0.0011042260176023601,0.0498,1.4145702867538859,-1.361567725018734,12.943581693386786,0.7332,0.001123190846110647,0.0029479166729877225
control,all,8,8;10;12;16,disorder,inverse_bootstrap_variance,0.000951288974209637,-0.000437085647476925,-0.02610608267970635,0.022833521283741977,-0.004958674905033215,-0.011868101912712968,0.002389833678602764,0.0964,0.09508684810440826,-1.3810434654532067,11.3643656107161,0.5476,0.001059376681040473,0.002947916672987703
control,all,8,8;10;12;16,total,unweighted,0.21064045596391603,1.1456119127256361,-2.750922265571017,3.6093086745203564,-0.5067530702181375,-0.8060519099969021,-0.20749538378675234,0.0,9.209100984395288,1.512231607646966,32.58642128544814,0.9944,0.077860837975126,0.06578515934154905
control,all,8,8;10;12;16,total,inverse_bootstrap_variance,0.08545116861140276,1.200384727496947,-2.5822215148636105,3.4651857603866008,-0.4762302168527993,-0.7711287971283274,-0.17977540344947582,0.0006,7.9687316380669735,0.3587207468407035,31.75593322565624,0.9832,0.0734688888254513,0.06578515934154937
control,start_gap_le_4.0,4,4;6;8;10;12;16,conditional,unweighted,0.03866006428527596,1.2160426886795843,-0.43935833355819115,1.7011438696606438,-0.11704009603101818,-0.18939225258897496,-0.04407064658640779,0.0006,3.5985955615316527,-0.638559456793269,9.560462282891002,0.9404,0.05471609151474405,0.0571374668053693
control,start_gap_le_4.0,4,4;6;8;10;12;16,conditional,inverse_bootstrap_variance,-0.014554393952203754,1.2442190702704243,-0.30909616566112036,1.5585113767486833,-0.07983915582140867,-0.14630780759116566,-0.013364167866771248,0.0102,1.252481216199513,-1.6951542839821625,7.768741961791948,0.6594,0.04661442410004151,0.051423228286459295
control,start_gap_le_4.0,4,4;6;8;10;12;16,disorder,unweighted,0.000809940902775116,-0.0004733819689055196,-0.005086932751338943,0.005510865471385573,-0.001443816099702281,-0.00308797772748593,0.00023633248822585787,0.048,0.6569567534576919,-1.7521436897688696,4.359349399356958,0.6198,0.000826071391592971,0.0014864281831857083
control,start_gap_le_4.0,4,4;6;8;10;12;16,disorder,inverse_bootstrap_variance,4.042344194467138e-5,-6.0863481941789045e-5,0.0014209858223698663,-0.0016229082631754428,0.0004199583040141994,-0.0006639688307685058,0.0014543872514663034,0.772,-1.3809590001311847,-1.7904736579449285,3.23924109319039,0.1696,0.00063610489932783,0.0011960987355544345
control,start_gap_le_4.0,4,4;6;8;10;12;16,total,unweighted,0.0394700051880528,1.2155693067106785,-0.4444452663095383,1.7066547351320362,-0.11848391213072193,-0.19054259164758236,-0.04546463149978488,0.0006,3.5626804307762683,-0.5977607250089372,9.40123578026019,0.9434,0.05545889578487083,0.05853320986905533
control,start_gap_le_4.0,4,4;6;8;10;12;16,total,inverse_bootstrap_variance,-0.014385536117190307,1.2440900941841495,-0.3110437899618267,1.5606348210008607,-0.08041267496129703,-0.14686808344816676,-0.013938047737768609,0.0096,1.2161890291840578,-1.6950326377136589,7.628504273044682,0.6576,0.04721155552232121,0.05265275105490168
control,start_gap_le_4.0,6,6;8;10;12;16,conditional,unweighted,0.1313822158463132,1.1775926078368888,-0.864832032991645,2.070780771712102,-0.1958625501827402,-0.3442099015876261,-0.051769317841870444,0.0044,2.3706057365684217,-1.1315379229684588,9.29004657368591,0.86,0.05454815342868056,0.09451155191278558
control,start_gap_le_4.0,6,6;8;10;12;16,conditional,inverse_bootstrap_variance,0.05903449468323059,1.2121530612668132,-0.6010842939941009,1.818143491734311,-0.13668691861292268,-0.28510182184868704,0.00011183794456289079,0.0252,0.2537144365889077,-1.5906122816533077,7.085399245097049,0.5168,0.04863509078601994,0.093487137576304
control,start_gap_le_4.0,6,6;8;10;12;16,disorder,unweighted,0.001384221106490737,-0.0007115248494089995,-0.020202517941092527,0.018642765491704714,-0.0042441008697886515,-0.007487869695122296,-0.0008829123798426781,0.0068,4.67738421356519,-0.5169117243542348,14.472487850678535,0.9576,0.001111032413042275,0.0012352757600091714
