model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
gamma,1,4,768,384,4000,-0.116,-0.1225,0.876988122,0.8508851752,0.9037304412,0.8386885471,0.8023785946,0.8755912728,0.03829957489,0.0107166948,0.066687264
gamma,1,4,1024,512,3000,-0.116,-0.1103333333,0.8843133822,0.8518883406,0.9156313299,0.8694404246,0.8239837098,0.9142520632,0.01487295765,-0.01737315772,0.04696783094
gamma,1,4,1536,768,1600,-0.098125,-0.144375,0.9072056754,0.8637767306,0.9518583245,0.8863594434,0.8250376065,0.9503324197,0.02084623202,-0.02671862297,0.06693059139
gamma,1,4,2048,1024,1000,-0.097,-0.138,0.9061796797,0.8529888764,0.9593496747,0.87053003,0.7973123123,0.9445845846,0.03564964965,-0.02011621622,0.09167412412
gamma,1,4,2560,1280,400,-0.0875,-0.0575,0.9619235589,0.8696826441,1.058431783,1.042155388,0.8907236842,1.206739348,-0.08023182957,-0.1813984962,0.01798402256
gamma,1,4,3072,1536,300,-0.1266666667,-0.1733333333,0.9467781494,0.8321824136,1.061291109,0.925328874,0.7650999164,1.087957219,0.02144927536,-0.09557162765,0.1432842809
gamma,1,4,4096,2048,150,-0.02666666667,-0.08666666667,1.046196868,0.891856264,1.197071029,0.9545637584,0.7270850112,1.199598993,0.09163310962,-0.08053691275,0.2590782998
gamma,1,4,5120,2560,80,-0.125,-0.025,0.9411392405,0.7072765032,1.179990111,0.9443037975,0.5948575949,1.35443038,-0.003164556962,-0.253164557,0.2193077532
gamma,1,4,6144,3072,40,0,-0.1,0.8923076923,0.6051201923,1.158653846,0.6871794872,0.4663461538,0.8945512821,0.2051282051,-0.05128205128,0.4564102564
uniform,1,32,32,2,6000,-0.01333333333,-0.007833333333,0.3358530727,0.3269432961,0.3446540739,0.3396248125,0.3275224482,0.3520088292,-0.003771739734,-0.01215407915,0.004671757793
uniform,1,32,64,4,6000,-0.01633333333,-0.02016666667,0.4168160666,0.4066492738,0.4270398438,0.4139783158,0.3995245735,0.428321647,0.002837750736,-0.007791302023,0.01329362602
uniform,1,32,128,8,6000,-0.004833333333,-0.01533333333,0.4736997138,0.4618002473,0.4852350722,0.4754407818,0.4590611213,0.4920553672,-0.001741067956,-0.01388642552,0.01006172695
uniform,1,32,256,16,6000,-0.008833333333,-0.02283333333,0.5489584653,0.5355421282,0.5626844123,0.5511605268,0.5323373323,0.5704068456,-0.002202061455,-0.01623474468,0.01157323304
uniform,1,32,512,32,5000,-0.0288,-0.0272,0.6199393479,0.6030739973,0.6371302651,0.607320184,0.583712608,0.6307256226,0.01261916383,-0.004822784557,0.03019218944
uniform,1,32,768,48,4000,-0.017,-0.0255,0.6779498625,0.6571531969,0.6990020349,0.6783834709,0.648683331,0.707796725,-0.0004336084021,-0.02122439985,0.02079421574
uniform,1,32,1024,64,3000,-0.01666666667,-0.014,0.6853248861,0.6612560812,0.7098089627,0.6782225186,0.6451946802,0.7123698677,0.007102367456,-0.0169399661,0.03127243526
uniform,1,32,1536,96,1600,0.001875,-0.046875,0.7205999844,0.6865984453,0.7543574891,0.7230136023,0.676559334,0.7708287553,-0.002413617886,-0.03750965447,0.03170687735
uniform,1,32,2048,128,1000,-0.053,-0.016,0.7947622623,0.7458140015,0.8439379755,0.7645800801,0.6956535035,0.8358155155,0.03018218218,-0.02036266266,0.08001676677
uniform,1,32,2560,160,400,0.025,0.0675,0.7705858396,0.697866463,0.8419830827,0.7622525063,0.6637030075,0.8611329104,0.008333333333,-0.06466212406,0.08090350877
uniform,1,32,3072,192,300,-0.01,0.03666666667,0.7584726867,0.6770511427,0.8403299889,0.8082720178,0.6757151616,0.9474860647,-0.0497993311,-0.1435468227,0.04013377926
uniform,1,32,4096,256,150,-0.1133333333,-0.006666666667,0.8391498881,0.687560962,0.9927170022,0.8063534676,0.6023266219,1.027829978,0.03279642058,-0.09655704698,0.1661744966
uniform,1,32,5120,320,80,-0.025,-0.1,0.8680379747,0.6723892405,1.063304984,0.8579113924,0.5819382911,1.165745649,0.01012658228,-0.2008030063,0.2161471519
uniform,1,32,6144,384,40,0.05,0,0.8705128205,0.6172836538,1.091987179,0.8705128205,0.5576923077,1.178205128,0,-0.2019230769,0.2019391026
uniform,1,16,32,4,6000,-0.02433333333,-0.02466666667,0.4236369951,0.4133073526,0.4337360564,0.4234038451,0.4086589459,0.4382931322,0.0002331499694,-0.01063485303,0.01088347919
uniform,1,16,64,8,6000,-0.031,-0.0185,0.4853459327,0.4730280727,0.4973951079,0.4942542507,0.4767134519,0.5120162388,-0.008908318053,-0.021165845,0.003650887648
uniform,1,16,128,16,6000,-0.01883333333,-0.0305,0.5586172973,0.5449276675,0.5727076735,0.5668597544,0.5476583042,0.5868733181,-0.008242457076,-0.02241709035,0.005971091015
uniform,1,16,256,32,6000,-0.01066666667,-0.03266666667,0.6123449464,0.5968625483,0.6276914375,0.620528088,0.598154765,0.6424680311,-0.008183141635,-0.02357059579,0.00732916111
uniform,1,16,512,64,5000,-0.0284,-0.0448,0.6999331866,0.6811542969,0.7184723025,0.6792013603,0.6533305701,0.7055071439,0.02073182637,0.001382179436,0.03983878176
uniform,1,16,768,96,4000,-0.01225,-0.006,0.7172112716,0.6958195549,0.7390588639,0.7245366029,0.6941701832,0.7550278077,-0.007325331333,-0.02908436484,0.01470306795
uniform,1,16,1024,128,3000,-0.041,-0.01133333333,0.7661840058,0.7388132155,0.7928693245,0.773317717,0.7343489149,0.8131513241,-0.007133711237,-0.0350277009,0.02066086751
uniform,1,16,1536,192,1600,-0.026875,-0.006875,0.8032422608,0.7644376319,0.8420875205,0.8196873046,0.7634695269,0.8774432067,-0.01644504378,-0.05641605105,0.02262226391
uniform,1,16,2048,256,1000,0.002,-0.033,0.8347882883,0.7830859484,0.8865101351,0.8247122122,0.7505646647,0.8976976977,0.01007607608,-0.04157257257,0.0615517017
uniform,1,16,2560,320,400,0.0525,-0.0125,0.8381390977,0.7583328634,0.9202745144,0.8550250627,0.7516763784,0.9637985589,-0.01688596491,-0.09691854637,0.06381782581
uniform,1,16,3072,384,300,-0.07,-0.05,0.9126755853,0.8044568004,1.019311037,0.8459531773,0.7196955128,0.9751633222,0.06672240803,-0.04546348941,0.1841031215
uniform,1,16,4096,512,150,-0.08,-0.04,0.9288590604,0.7806907159,1.074362975,0.8448322148,0.6650755034,1.03803132,0.08402684564,-0.06659060403,0.2389261745
uniform,1,16,5120,640,80,-0.025,-0.05,0.9477848101,0.7379707278,1.150316456,0.860443038,0.6106803797,1.115189873,0.08734177215,-0.1367088608,0.3198219937
uniform,1,16,6144,768,40,-0.025,0.125,1.325,0.853838141,1.784302885,1.296153846,0.7483974359,1.868950321,0.02884615385,-0.3397435897,0.3865544872
uniform,1,8,32,8,6000,-0.05466666667,-0.05833333333,0.4888858699,0.4772085716,0.500534006,0.4870744569,0.4698282492,0.5044053123,0.001811413013,-0.01058767711,0.01438806884
uniform,1,8,64,16,6000,-0.05083333333,-0.048,0.5608994694,0.5479343905,0.5744638568,0.5535049036,0.5348150553,0.5720458563,0.007394565761,-0.006514894149,0.02149780797
uniform,1,8,128,32,6000,-0.0335,-0.04783333333,0.6310667056,0.6159951936,0.6467206017,0.6275018614,0.6050968193,0.6499195852,0.003564844141,-0.01219221537,0.01934919987
uniform,1,8,256,64,6000,-0.054,-0.05783333333,0.6917349419,0.6740272281,0.7092019218,0.6908577957,0.6658103212,0.7163549088,0.000877146191,-0.01647373937,0.01823707493
uniform,1,8,512,128,5000,-0.0602,-0.055,0.7302215243,0.7097120444,0.7499114783,0.7275319864,0.6985916708,0.755854781,0.002689537908,-0.01723393279,0.02285117924
uniform,1,8,768,192,4000,-0.02575,-0.04125,0.7880146912,0.7636540065,0.811430592,0.8015802701,0.7669294159,0.835168954,-0.01356557889,-0.03727291823,0.01026882033
uniform,1,8,1024,256,3000,-0.04033333333,-0.065,0.825015783,0.796312318,0.8543695787,0.7869580971,0.7481792834,0.8272258795,0.0380576859,0.008104354229,0.06677259086
uniform,1,8,1536,384,1600,-0.023125,-0.001875,0.8909126798,0.8479423614,0.9326780214,0.8771974672,0.8171872655,0.9392608466,0.01371521263,-0.03013305191,0.05773213727
uniform,1,8,2048,512,1000,-0.05,-0.055,0.8756131131,0.8217257257,0.9299616742,0.8993868869,0.8195571196,0.9808568569,-0.02377377377,-0.07884329329,0.03097557558
uniform,1,8,2560,640,400,-0.055,-0.025,0.8778696742,0.7929506579,0.9631679981,0.9393984962,0.8067019893,1.078646617,-0.06152882206,-0.1494212093,0.02779542607
