model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
uniform,1,16,900,56,500,-0.048,0.088,9.758492986,8.902921844,10.61753587,10.45967134,9.158488978,11.80152305,-0.7011783567,-1.571278557,0.1515366733
uniform,1,16,1100,69,450,0.2666666667,-0.2133333333,10.22218263,9.328110864,11.0919901,9.363385301,8.160356347,10.57960703,0.8587973274,-0.06739123979,1.777409552
uniform,1,16,1300,81,450,0.07111111111,0,10.88388023,9.867212076,11.93134868,11.29367978,9.767339767,12.92265083,-0.4097995546,-1.429669884,0.5392843356
uniform,1,8,128,16,750,-0.09066666667,-0.005333333333,7.878380062,7.301066311,8.441441923,8.071120605,7.261721406,8.894011927,-0.1927405429,-0.7331510458,0.3272843792
uniform,1,8,192,24,750,0.128,0.005333333333,8.547190031,7.934301024,9.155987539,9.060557187,8.139141967,10.00687708,-0.5133671562,-1.110814419,0.07697943925
uniform,1,8,256,32,750,0.07466666667,0.272,8.878725412,8.215686337,9.545499243,8.770890966,7.91376947,9.673256787,0.1078344459,-0.509706453,0.7165671562
uniform,1,8,384,48,650,0.006153846154,-0.16,9.885466398,9.116480265,10.67217542,10.18032002,9.041706768,11.4016641,-0.294853621,-1.113135001,0.4890847458
uniform,1,8,512,64,650,0,0.1723076923,10.51209672,9.67242764,11.33494844,9.969723835,8.906691952,11.0903909,0.5423728814,-0.2291809885,1.316660424
uniform,1,8,700,88,550,0.05818181818,0.03636363636,10.03771485,9.268196059,10.80846564,10.38956119,9.256811393,11.51175029,-0.3518463322,-1.183297897,0.5077661865
uniform,1,8,900,112,500,-0.168,0.096,11.50829659,10.49955271,12.5056481,10.81878958,9.554593186,12.10472144,0.689507014,-0.2539639279,1.671201603
uniform,1,8,1100,138,450,-0.16,0.1244444444,12.20212819,11.00480079,13.42060975,12.32471171,10.81312843,13.88741401,-0.1225835189,-1.319059639,1.107133878
uniform,1,8,1300,162,450,0.1422222222,0.1333333333,12.07895075,11.01082603,13.14942242,11.812878,10.41936649,13.2691512,0.2660727543,-0.8550794358,1.407235833
uniform,1,4,128,32,750,0.06933333333,-0.128,8.907948376,8.292205429,9.527442813,9.027232755,8.131959057,9.943625812,-0.1192843792,-0.7366750334,0.4921990209
uniform,1,4,192,48,750,0.1866666667,0.03733333333,9.915101024,9.177347219,10.65307201,9.537566533,8.584586026,10.55458264,0.3775344904,-0.3926600801,1.141428037
uniform,1,4,256,64,750,0.1386666667,-0.2293333333,10.0788607,9.393542679,10.73857481,10.47425367,9.504570004,11.43828536,-0.3953929684,-1.071230975,0.2906502893
uniform,1,4,384,96,650,0.01846153846,-0.06769230769,11.2394453,10.3673666,12.13230058,11.06562048,9.905689226,12.26373498,0.1738248192,-0.6244835842,0.9715880052
uniform,1,4,512,128,650,-0.2276923077,0.07384615385,11.52138438,10.58772549,12.46717838,11.65246415,10.32820908,13.04559772,-0.1310797677,-1.088617281,0.8116088657
uniform,1,4,700,175,550,-0.3127272727,-0.04363636364,12.29249876,11.24772777,13.33532307,12.42274549,10.96647789,13.99926014,-0.1302467296,-1.166301706,0.8918032787
uniform,1,4,900,225,500,0.2,0.016,11.26640481,10.28921844,12.23067174,11.28564329,9.802096192,12.78325291,-0.01923847695,-1.03364008,1.001197595
uniform,1,4,1100,275,450,-0.1066666667,-0.05333333333,12.83919822,11.70136996,13.93551101,12.82708241,11.17113586,14.48453353,0.01211581292,-1.17755605,1.186423163
uniform,1,4,1300,325,450,-0.02666666667,0.02666666667,12.63180401,11.6117367,13.62598169,12.36383073,10.91530215,13.77786192,0.2679732739,-0.7535560505,1.30067607
