model,filter,cutoff,sizes,component,method,log_intercept,log_slope,quadratic_intercept,quadratic_log_slope,log2_coefficient,coefficient_low,coefficient_high,coefficient_positive_fraction,delta_bic,delta_bic_low,delta_bic_high,quadratic_bic_win_fraction,log_loocv_rmse,quadratic_loocv_rmse
kasteleyn_gamma,all,4,4;6;8;10;12;16;20,total,unweighted,-0.07845637698077257,1.7581163757265277,-1.1368606743351104,2.7780301497715527,-0.23193166721816386,-1.8424964246095183,1.3288500187758638,0.3416,-0.07202588396514287,-1.9422266646603845,8.095693871632852,0.4064,0.1584051401573835,0.25942218876744577
kasteleyn_gamma,all,4,4;6;8;10;12;16;20,total,inverse_bootstrap_variance,-0.22040428887157076,1.8274280975113464,-0.5620335802055573,2.1837685211786786,-0.08803701064797798,-1.3861936620093163,1.122155460505278,0.4224,-1.7180193822081797,-1.9442798578240907,7.30052465507744,0.2994,0.16927786125333022,0.3026002607257612
kasteleyn_gamma,all,6,6;8;10;12;16;20,conditional,unweighted,0.3260648979357241,0.6314245205388894,-2.360323039364563,2.9353977091902648,-0.4799490376724584,-1.4285279480676758,0.4720250832793625,0.1606,1.780858575231612,-1.7835907391832386,11.582903682539927,0.5046,0.1932091166375757,0.17692855591678355
kasteleyn_gamma,all,6,6;8;10;12;16;20,conditional,inverse_bootstrap_variance,0.1087005562550257,0.730816984279773,-2.046250450173623,2.6631067247819633,-0.42230286517735366,-1.2374056183233189,0.404306270146369,0.1614,2.3696093469810755,-1.787323517376678,11.441112876496023,0.4848,0.17752250398138414,0.15282676449433039
kasteleyn_gamma,all,6,6;8;10;12;16;20,disorder,unweighted,-0.35424166923594347,1.107092784667942,-1.585174927484707,2.1627992910314777,-0.21991806340868025,-2.926004854114712,2.450468248517503,0.3842,-1.5355394093862067,-1.788010391479568,9.947008909422234,0.425,0.23118001437558863,0.3667038378113237
kasteleyn_gamma,all,6,6;8;10;12;16;20,disorder,inverse_bootstrap_variance,-0.47241456990079506,1.155890289067893,-2.6680912188121804,3.1369817037437397,-0.435469826424245,-2.7528175894513285,1.7087440986376443,0.3134,-0.5361874046952906,-1.7886122884857167,9.580351096205577,0.3902,0.23373704836237205,0.3296332147424339
kasteleyn_gamma,all,6,6;8;10;12;16;20,total,unweighted,-0.02817677130021879,1.7385173052068312,-3.9454979668492562,5.098197000221732,-0.6998671010811367,-3.762315347581404,2.303935550925301,0.2896,3.803090123895789,-1.7864779696675972,11.847092967828342,0.5038,0.20771954404994575,0.19723172187975932
kasteleyn_gamma,all,6,6;8;10;12;16;20,total,inverse_bootstrap_variance,-0.3895635698282844,1.9004640364691465,-4.646263142891805,5.725780088285363,-0.8378180801043087,-3.454625342253956,1.6701539668447953,0.234,5.937583522280249,-1.788402956677338,11.791263998197703,0.4722,0.23122216150668357,0.17837184276410792
kasteleyn_gamma,all,8,8;10;12;16;20,conditional,unweighted,0.6823692658681493,0.4980711986966017,-2.5627778222305024,3.093415488061038,-0.5103474004472498,-2.3935481303730004,1.3456556986011714,0.296,-0.44893869629854777,-1.605376757900975,11.052455898632493,0.478,0.18014021108439068,0.30842324374348623
kasteleyn_gamma,all,8,8;10;12;16;20,conditional,inverse_bootstrap_variance,0.5570865333659776,0.5498273657429756,-0.56823408473945,1.4757619875803896,-0.18749231293903054,-1.8522616601262467,1.4934445723001804,0.412,-1.3471699323654,-1.606912720716339,11.009075928518701,0.4092,0.16005713129225244,0.2634349817657393
