model,fraction_num,fraction_den,order,separation,n,mean_1,mean_2,marginal,marginal_low,marginal_high,conditional,conditional_low,conditional_high,disorder,disorder_low,disorder_high
uniform,1,16,4096,512,150,-0.08,-0.04,0.9288590604,0.7794121924,1.076072148,0.8448322148,0.6587024609,1.030469239,0.08402684564,-0.06523489933,0.2357069351
uniform,1,16,5120,640,80,-0.025,-0.05,0.9477848101,0.7360759494,1.147946994,0.860443038,0.607278481,1.121518987,0.08734177215,-0.1408227848,0.321210443
uniform,1,16,6144,768,40,-0.025,0.125,1.325,0.8445512821,1.783974359,1.296153846,0.7487179487,1.871474359,0.02884615385,-0.3397435897,0.3846153846
uniform,1,8,32,8,6000,-0.05466666667,-0.05833333333,0.4888858699,0.4772785968,0.5003647236,0.4870744569,0.4698904887,0.5038856643,0.001811413013,-0.01035032992,0.01429790868
uniform,1,8,64,16,6000,-0.05083333333,-0.048,0.5608994694,0.5475291198,0.5741243138,0.5535049036,0.534384461,0.5725488831,0.007394565761,-0.006902998416,0.02193753542
uniform,1,8,128,32,6000,-0.0335,-0.04783333333,0.6310667056,0.6156889589,0.6461362977,0.6275018614,0.6047306443,0.6498659725,0.003564844141,-0.01250508974,0.01947046869
uniform,1,8,256,64,6000,-0.054,-0.05783333333,0.6917349419,0.6742036971,0.7092056339,0.6908577957,0.6661393149,0.7159385175,0.000877146191,-0.01658613936,0.01796661527
uniform,1,8,512,128,5000,-0.0602,-0.055,0.7302215243,0.7098989458,0.7504985137,0.7275319864,0.6992392519,0.7562328771,0.002689537908,-0.0172604821,0.02271917283
uniform,1,8,768,192,4000,-0.02575,-0.04125,0.7880146912,0.7644006924,0.8115094531,0.8015802701,0.7676581333,0.8349910103,-0.01356557889,-0.03709761972,0.01061823112
uniform,1,8,1024,256,3000,-0.04033333333,-0.065,0.825015783,0.7949634725,0.8540982383,0.7869580971,0.7468930255,0.8279090808,0.0380576859,0.007613573969,0.0686181755
uniform,1,8,1536,384,1600,-0.023125,-0.001875,0.8909126798,0.8483239134,0.9330694575,0.8771974672,0.8166028426,0.9379108818,0.01371521263,-0.03132143136,0.05773456066
uniform,1,8,2048,512,1000,-0.05,-0.055,0.8756131131,0.8206792793,0.9287038539,0.8993868869,0.8200025025,0.9813701702,-0.02377377377,-0.08057912913,0.03101574074
uniform,1,8,2560,640,400,-0.055,-0.025,0.8778696742,0.7933677945,0.963878916,0.9393984962,0.8060116698,1.080591479,-0.06152882206,-0.1507525063,0.02636795113
uniform,1,8,3072,768,300,0.02333333333,-0.04666666667,0.920039019,0.8155082219,1.02509476,0.8721237458,0.7385680045,1.014598662,0.04791527313,-0.05114827202,0.1455861204
uniform,1,8,4096,1024,150,-0.18,-0.12,0.9529530201,0.8095027964,1.093274609,0.880738255,0.69225783,1.083342282,0.0722147651,-0.07517449664,0.2162416107
uniform,1,8,5120,1280,80,-0.2125,0.1,1.003718354,0.7717563291,1.221364715,1.058148734,0.7543215981,1.363854826,-0.05443037975,-0.2481091772,0.1487460443
uniform,1,8,6144,1536,40,-0.25,0.175,0.9650641026,0.7153846154,1.176282051,0.8945512821,0.5996794872,1.171474359,0.07051282051,-0.1602564103,0.3019230769
uniform,1,4,32,16,6000,-0.1133333333,-0.1256666667,0.5436056565,0.5307965123,0.556214051,0.5525160304,0.5338376632,0.5715047452,-0.008910373951,-0.02255850975,0.004643798272
uniform,1,4,64,32,6000,-0.1071666667,-0.09783333333,0.6157412624,0.6010423119,0.6300532196,0.6163925099,0.5952779272,0.6382697592,-0.0006512474301,-0.01618391885,0.01462600225
uniform,1,4,128,64,6000,-0.0905,-0.1001666667,0.6888363338,0.6718140832,0.7058469102,0.7027370673,0.6779878174,0.7278579676,-0.01390073346,-0.03151543104,0.003348865783
uniform,1,4,256,128,6000,-0.1105,-0.096,0.763164069,0.7437819046,0.7824751851,0.7662725871,0.7390393177,0.7933772292,-0.003108518086,-0.02244244457,0.0162265961
uniform,1,4,512,256,5000,-0.0796,-0.11,0.8127444689,0.7902686342,0.8354607902,0.80969986,0.7771625105,0.842775031,0.003044608922,-0.02068897479,0.02660044009
uniform,1,4,768,384,4000,-0.102,-0.117,0.8346621655,0.8082384971,0.8612184171,0.8430982746,0.8058929732,0.8797638167,-0.008436109027,-0.03491304232,0.01753890816
uniform,1,4,1024,512,3000,-0.1283333333,-0.1086666667,0.8829887185,0.851300778,0.9139357855,0.8742646993,0.8301099811,0.9193298877,0.008724019117,-0.02256513004,0.03959552073
uniform,1,4,1536,768,1600,-0.093125,-0.073125,0.9248182458,0.8792280283,0.971137972,0.9003627267,0.8364354675,0.9647444106,0.02445551907,-0.02109730691,0.07010801673
uniform,1,4,2048,1024,1000,-0.098,-0.111,0.977515015,0.9206706707,1.034980831,0.9954109109,0.9151130631,1.078157157,-0.0178958959,-0.07561961962,0.04124314314
uniform,1,4,2560,1280,400,-0.045,0.0325,0.9571021303,0.8632983239,1.050796366,0.9230545113,0.8001985432,1.046338424,0.03404761905,-0.06181187343,0.1292662907
uniform,1,4,3072,1536,300,-0.1833333333,-0.19,1.031917503,0.9110072464,1.153032469,1.020044593,0.8632040134,1.18557762,0.0118729097,-0.09948745819,0.1244774247
uniform,1,4,4096,2048,150,-0.18,-0.1066666667,0.9343400447,0.7880296421,1.077080537,0.9536689038,0.7634004474,1.143199105,-0.01932885906,-0.1507852349,0.1087248322
uniform,1,4,5120,2560,80,-0.125,-0.25,1.150316456,0.8859177215,1.406967959,1.068037975,0.7144778481,1.462054984,0.08227848101,-0.1686867089,0.3101265823
uniform,1,4,6144,3072,40,-0.175,0,0.8689102564,0.6137820513,1.095841346,0.7407051282,0.4355769231,1.050961538,0.1282051282,-0.1025961538,0.3525641026
